# sigma_x calculated at 1   QD                                      
# sigma_y calculated at 1   QD                                      
# sigma_z calculated at 1   QD                                      
                                                                                              -------------Values from sigma matrix-------------
     # current            emit_a            emit_b            sigE/E             sig z           sigma_x           sigma_y           sigmz_z
     #     (A)           (m*rad)           (m*rad)            (rel.)               (m)               (m)               (m)               (m)
    8.00000038E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    7.60000036E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    7.20000034E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    6.80000032E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    6.40000030E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    6.00000028E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    5.60000027E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    5.20000025E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    4.80000023E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    4.40000021E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    4.00000019E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    3.60000017E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    3.20000015E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    2.80000013E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    2.40000011E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    2.00000009E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    1.60000008E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    1.20000006E-03    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    8.00000038E-04    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    4.00000019E-04    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
    1.00000005E-05    3.80000000E-09    1.79000000E-11    2.30377039E-03    1.00000000E+30    0.00000000E+00    0.00000000E+00    0.00000000E+00
