# Element-by-element rates at equilibrium at full current
           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
       0.10000   -8.6039E-33   -4.1031E-39   -3.7499E-36
       0.20000   -8.5829E-33   -3.9962E-39   -3.7408E-36
       0.30000   -8.6112E-33   -3.8639E-39   -3.7531E-36
       0.40000   -8.6571E-33   -3.7382E-39   -3.7731E-36
       0.50000   -8.7033E-33   -3.6151E-39   -3.7933E-36
       0.60000   -8.7499E-33   -3.4946E-39   -3.8136E-36
       0.70000   -8.7967E-33   -3.3766E-39   -3.8340E-36
       0.80000   -8.8437E-33   -3.2611E-39   -3.8545E-36
       0.90000   -8.8910E-33   -3.1482E-39   -3.8751E-36
       1.00000   -8.9483E-33   -3.0387E-39   -3.8935E-36
       1.10000   -9.0092E-33   -2.9324E-39   -3.9113E-36
       1.20000   -9.0738E-33   -2.8293E-39   -3.9284E-36
       1.30000   -9.1423E-33   -2.7293E-39   -3.9447E-36
       1.40000   -9.2147E-33   -2.6325E-39   -3.9603E-36
       1.50000   -9.2911E-33   -2.5389E-39   -3.9751E-36
       1.60000   -9.3715E-33   -2.4484E-39   -3.9891E-36
       1.70000   -9.4561E-33   -2.3611E-39   -4.0023E-36
       1.80000   -9.5449E-33   -2.2769E-39   -4.0145E-36
       1.90000   -9.6380E-33   -2.1958E-39   -4.0258E-36
       2.00000   -9.7354E-33   -2.1178E-39   -4.0362E-36
       2.10000   -9.8371E-33   -2.0429E-39   -4.0457E-36
       2.20000   -9.9433E-33   -1.9711E-39   -4.0541E-36
       2.30000   -1.0054E-32   -1.9022E-39   -4.0615E-36
       2.40000   -1.0169E-32   -1.8363E-39   -4.0679E-36
       2.50000   -1.0289E-32   -1.7734E-39   -4.0732E-36
       2.60000   -1.0413E-32   -1.7133E-39   -4.0774E-36
       2.70000   -1.0541E-32   -1.6561E-39   -4.0805E-36
       2.80000   -1.0674E-32   -1.6016E-39   -4.0825E-36
       2.90000   -1.0812E-32   -1.5500E-39   -4.0833E-36
       3.00000   -1.0954E-32   -1.5010E-39   -4.0829E-36
       3.10000   -1.1100E-32   -1.4547E-39   -4.0814E-36
       3.20000   -1.1251E-32   -1.4110E-39   -4.0787E-36
       3.30000   -1.1406E-32   -1.3698E-39   -4.0747E-36
       3.40000   -1.1483E-32   -1.3233E-39   -4.0853E-36
       3.50000   -1.1528E-32   -1.2756E-39   -4.1012E-36
       3.60000   -1.1571E-32   -1.2297E-39   -4.1164E-36
