           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
       0.10000   -8.6039E-34   -4.1031E-40   -3.7499E-37
       0.20000   -1.7187E-33   -8.0993E-40   -7.4907E-37
       0.30000   -2.5798E-33   -1.1963E-39   -1.1244E-36
       0.40000   -3.4455E-33   -1.5701E-39   -1.5017E-36
       0.50000   -4.3158E-33   -1.9317E-39   -1.8810E-36
       0.60000   -5.1908E-33   -2.2811E-39   -2.2624E-36
       0.70000   -6.0705E-33   -2.6188E-39   -2.6458E-36
       0.80000   -6.9549E-33   -2.9449E-39   -3.0312E-36
       0.90000   -7.8440E-33   -3.2597E-39   -3.4187E-36
       1.00000   -8.7388E-33   -3.5636E-39   -3.8081E-36
       1.10000   -9.6397E-33   -3.8568E-39   -4.1992E-36
       1.20000   -1.0547E-32   -4.1397E-39   -4.5920E-36
       1.30000   -1.1461E-32   -4.4127E-39   -4.9865E-36
       1.40000   -1.2383E-32   -4.6759E-39   -5.3825E-36
       1.50000   -1.3312E-32   -4.9298E-39   -5.7801E-36
       1.60000   -1.4249E-32   -5.1746E-39   -6.1790E-36
       1.70000   -1.5195E-32   -5.4108E-39   -6.5792E-36
       1.80000   -1.6149E-32   -5.6384E-39   -6.9806E-36
       1.90000   -1.7113E-32   -5.8580E-39   -7.3832E-36
       2.00000   -1.8087E-32   -6.0698E-39   -7.7869E-36
       2.10000   -1.9070E-32   -6.2741E-39   -8.1914E-36
       2.20000   -2.0065E-32   -6.4712E-39   -8.5968E-36
       2.30000   -2.1070E-32   -6.6614E-39   -9.0030E-36
       2.40000   -2.2087E-32   -6.8451E-39   -9.4098E-36
       2.50000   -2.3116E-32   -7.0224E-39   -9.8171E-36
       2.60000   -2.4157E-32   -7.1937E-39   -1.0225E-35
       2.70000   -2.5211E-32   -7.3593E-39   -1.0633E-35
       2.80000   -2.6279E-32   -7.5195E-39   -1.1041E-35
       2.90000   -2.7360E-32   -7.6745E-39   -1.1449E-35
       3.00000   -2.8455E-32   -7.8246E-39   -1.1858E-35
       3.10000   -2.9565E-32   -7.9701E-39   -1.2266E-35
       3.20000   -3.0690E-32   -8.1112E-39   -1.2674E-35
       3.30000   -3.1831E-32   -8.2481E-39   -1.3081E-35
       3.40000   -3.2979E-32   -8.3805E-39   -1.3490E-35
       3.50000   -3.4132E-32   -8.5080E-39   -1.3900E-35
