           # s        inv_Ta        inv_Tb            Ha            Hb
         # (m)         (1/s)         (1/s)           (m)           (m)
       0.10000    1.0942E-02    0.0000E+00    1.6428E+00    0.0000E+00
       0.20000    1.1085E-02    0.0000E+00    1.6428E+00    0.0000E+00
       0.30000    1.1308E-02    0.0000E+00    1.6428E+00    0.0000E+00
       0.40000    1.1544E-02    0.0000E+00    1.6428E+00    0.0000E+00
       0.50000    1.1786E-02    0.0000E+00    1.6428E+00    0.0000E+00
       0.60000    1.2034E-02    0.0000E+00    1.6428E+00    0.0000E+00
       0.70000    1.2289E-02    0.0000E+00    1.6428E+00    0.0000E+00
       0.80000    1.2550E-02    0.0000E+00    1.6428E+00    0.0000E+00
       0.90000    1.2817E-02    0.0000E+00    1.6428E+00    0.0000E+00
       1.00000    1.3114E-02    0.0000E+00    1.6455E+00    0.0000E+00
       1.10000    1.3425E-02    0.0000E+00    1.6492E+00    0.0000E+00
       1.20000    1.3751E-02    0.0000E+00    1.6538E+00    0.0000E+00
       1.30000    1.4094E-02    0.0000E+00    1.6594E+00    0.0000E+00
       1.40000    1.4454E-02    0.0000E+00    1.6659E+00    0.0000E+00
       1.50000    1.4832E-02    0.0000E+00    1.6735E+00    0.0000E+00
       1.60000    1.5228E-02    0.0000E+00    1.6821E+00    0.0000E+00
       1.70000    1.5642E-02    0.0000E+00    1.6917E+00    0.0000E+00
       1.80000    1.6076E-02    0.0000E+00    1.7023E+00    0.0000E+00
       1.90000    1.6531E-02    0.0000E+00    1.7141E+00    0.0000E+00
       2.00000    1.7005E-02    0.0000E+00    1.7269E+00    0.0000E+00
       2.10000    1.7502E-02    0.0000E+00    1.7409E+00    0.0000E+00
       2.20000    1.8019E-02    0.0000E+00    1.7561E+00    0.0000E+00
       2.30000    1.8560E-02    0.0000E+00    1.7723E+00    0.0000E+00
       2.40000    1.9122E-02    0.0000E+00    1.7898E+00    0.0000E+00
       2.50000    1.9708E-02    0.0000E+00    1.8085E+00    0.0000E+00
       2.60000    2.0317E-02    0.0000E+00    1.8284E+00    0.0000E+00
       2.70000    2.0950E-02    0.0000E+00    1.8496E+00    0.0000E+00
       2.80000    2.1606E-02    0.0000E+00    1.8721E+00    0.0000E+00
       2.90000    2.2286E-02    0.0000E+00    1.8958E+00    0.0000E+00
       3.00000    2.2989E-02    0.0000E+00    1.9209E+00    0.0000E+00
       3.10000    2.3716E-02    0.0000E+00    1.9473E+00    0.0000E+00
       3.20000    2.4465E-02    0.0000E+00    1.9751E+00    0.0000E+00
       3.30000    2.5237E-02    0.0000E+00    2.0043E+00    0.0000E+00
       3.40000    2.5745E-02    0.0000E+00    2.0126E+00    0.0000E+00
       3.50000    2.6138E-02    0.0000E+00    2.0126E+00    0.0000E+00
       3.60000    2.6519E-02    0.0000E+00    2.0126E+00    0.0000E+00
       3.70000    2.7196E-02    0.0000E+00    2.0358E+00    0.0000E+00
       3.80000    2.8003E-02    0.0000E+00    2.0691E+00    0.0000E+00
       3.90000    2.8825E-02    0.0000E+00    2.1040E+00    0.0000E+00
       4.00000    2.9659E-02    0.0000E+00    2.1404E+00    0.0000E+00
       4.10000    3.0504E-02    0.0000E+00    2.1784E+00    0.0000E+00
       4.20000    3.1358E-02    0.0000E+00    2.2179E+00    0.0000E+00
       4.30000    3.2219E-02    0.0000E+00    2.2591E+00    0.0000E+00
