#RUNGE KUTTA   S1,S2 =  0.0000000000000000E+00,   3.940000000000000
#        HMIN,H,HMAX =  0.5000000000000000E-03,  0.1000000000000000,  0.7000000000000001
#             EPS,BS =  0.1000000000000000E-09,  0.2000000000000000E-08
# STEP    S                 DS
     0  0.0000000000E+00  0.10000E+00
     1  0.1000000000E+00  0.10000E+00
     3  0.2333333333E+00  0.13333E+00
     5  0.4111111111E+00  0.17778E+00
     7  0.4868198792E+00  0.75709E-01
     8  0.5434144254E+00  0.56595E-01
     9  0.5919504499E+00  0.48536E-01
    10  0.6357072536E+00  0.43757E-01
    11  0.6807777509E+00  0.45070E-01
    12  0.7317079751E+00  0.50930E-01
    13  0.7904774867E+00  0.58770E-01
    14  0.8563945294E+00  0.65917E-01
    15  0.9339178719E+00  0.77523E-01
    16  0.9971004823E+00  0.63183E-01
    18  0.1014481323E+01  0.17381E-01
    19  0.1044332214E+01  0.29851E-01
    20  0.1073291484E+01  0.28959E-01
    21  0.1095919662E+01  0.22628E-01
    22  0.1118105990E+01  0.22186E-01
    23  0.1136112276E+01  0.18006E-01
    24  0.1152066107E+01  0.15954E-01
    25  0.1170268279E+01  0.18202E-01
    26  0.1186952667E+01  0.16684E-01
    27  0.1204814361E+01  0.17862E-01
    28  0.1224443817E+01  0.19629E-01
    29  0.1247733482E+01  0.23290E-01
    30  0.1270858422E+01  0.23125E-01
    31  0.1300307154E+01  0.29449E-01
    32  0.1329863365E+01  0.29556E-01
    33  0.1365486073E+01  0.35623E-01
    34  0.1420847355E+01  0.55361E-01
    35  0.1595400025E+01  0.17455E+00
    36  0.2293610702E+01  0.69821E+00
    38  0.2526944036E+01  0.23333E+00
    41  0.2604721813E+01  0.77778E-01
    43  0.2629409873E+01  0.24688E-01
    44  0.2658625113E+01  0.29215E-01
