# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1 -0.1578724E-01  0.7071068E+00 -0.7069305E+00
       100      2 -0.1276015E-01  0.7060724E+00 -0.7080247E+00
       100      3 -0.2976706E-01  0.6946313E+00 -0.7187498E+00
       100      4 -0.2651601E+00  0.7070098E+00 -0.6556121E+00
       100      5 -0.1344265E-01  0.7063029E+00 -0.7077821E+00
       100      6 -0.2489432E-01  0.6974126E+00 -0.7162373E+00
       100      7 -0.2116158E+00  0.7070254E+00 -0.6747842E+00
       100      8 -0.1411959E-01  0.7065330E+00 -0.7075392E+00
       100      9 -0.2103334E-01  0.7001910E+00 -0.7136457E+00
       100     10 -0.1567036E+00  0.7070447E+00 -0.6895881E+00
       100     11 -0.1479090E-01  0.7067628E+00 -0.7072960E+00
       100     12 -0.1818120E-01  0.7029637E+00 -0.7109933E+00
       100     13 -0.1007790E+00  0.7070674E+00 -0.6999281E+00
       100     14 -0.1545655E-01  0.7069922E+00 -0.7070524E+00
       100     15 -0.1633458E-01  0.7057283E+00 -0.7082943E+00
       100     16 -0.4420413E-01  0.7070930E+00 -0.7057376E+00
       100     17 -0.1611649E-01  0.7072213E+00 -0.7068085E+00
       100     18 -0.1548993E-01  0.7084824E+00 -0.7055585E+00
       100     19  0.1265465E-01  0.7071212E+00 -0.7069792E+00
       100     20 -0.1677067E-01  0.7074502E+00 -0.7065642E+00
       100     21 -0.1564350E-01  0.7112238E+00 -0.7027916E+00
       100     22  0.6942930E-01  0.7071514E+00 -0.7036451E+00
       100     23 -0.1741904E-01  0.7076788E+00 -0.7063195E+00
       100     24 -0.1679143E-01  0.7139502E+00 -0.6999951E+00
       100     25  0.1257523E+00  0.7071832E+00 -0.6957574E+00
       100     26 -0.1806156E-01  0.7079073E+00 -0.7060744E+00
       100     27 -0.1892971E-01  0.7166595E+00 -0.6971663E+00
       100     28  0.1812591E+00  0.7072159E+00 -0.6833673E+00
       100     29 -0.1869817E-01  0.7081356E+00 -0.7058289E+00
       100     30 -0.2205425E-01  0.7193494E+00 -0.6942983E+00
       100     31  0.2355905E+00  0.7072491E+00 -0.6665552E+00

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1  0.3156661E-01  0.7071068E+00  0.7064018E+00
       200      2  0.3005086E-01  0.7055683E+00  0.7080044E+00
       200      3  0.6395379E-01  0.6963080E+00  0.7148882E+00
       200      4  0.4917382E+00  0.7071029E+00  0.5081329E+00
       200      5  0.3040877E-01  0.7059102E+00  0.7076483E+00
       200      6  0.5325003E-01  0.6987551E+00  0.7133763E+00
       200      7  0.4039357E+00  0.7071121E+00  0.5803693E+00
       200      8  0.3075466E-01  0.7062521E+00  0.7072921E+00
       200      9  0.4455168E-01  0.7011724E+00  0.7115985E+00
       200     10  0.3056939E+00  0.7071154E+00  0.6376041E+00
       200     11  0.3108850E-01  0.7065940E+00  0.7069359E+00
       200     12  0.3785756E-01  0.7035631E+00  0.7096237E+00
       200     13  0.1995521E+00  0.7071142E+00  0.6783572E+00
       200     14  0.3141027E-01  0.7069359E+00  0.7065798E+00
       200     15  0.3316434E-01  0.7059306E+00  0.7075042E+00
       200     16  0.8825365E-01  0.7071097E+00  0.7015747E+00
       200     17  0.3171993E-01  0.7072776E+00  0.7062239E+00
       200     18  0.3046722E-01  0.7082787E+00  0.7052752E+00
       200     19 -0.2532430E-01  0.7071036E+00  0.7066564E+00
       200     20  0.3201745E-01  0.7076191E+00  0.7058683E+00
       200     21  0.2976037E-01  0.7106116E+00  0.7029548E+00
       200     22 -0.1382458E+00  0.7070969E+00  0.6934710E+00
       200     23  0.3230280E-01  0.7079604E+00  0.7055130E+00
       200     24  0.3103713E-01  0.7129334E+00  0.7005445E+00
       200     25 -0.2475916E+00  0.7070908E+00  0.6623602E+00
       200     26  0.3257596E-01  0.7083013E+00  0.7051582E+00
       200     27  0.3428995E-01  0.7152483E+00  0.6980287E+00
       200     28 -0.3505354E+00  0.7070859E+00  0.6141291E+00
       200     29  0.3283689E-01  0.7086418E+00  0.7048039E+00
       200     30  0.3951016E-01  0.7175600E+00  0.6953751E+00
       200     31 -0.4444162E+00  0.7070825E+00  0.5500259E+00

       300      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       300      1 -0.4733024E-01  0.7071068E+00 -0.7055210E+00
       300      2 -0.4459777E-01  0.7073519E+00 -0.7054532E+00
       300      3 -0.9035757E-01  0.7096703E+00 -0.6987157E+00
       300      4 -0.6463499E+00  0.7070953E+00 -0.2867891E+00
       300      5 -0.4523604E-01  0.7072977E+00 -0.7054670E+00
       300      6 -0.7558115E-01  0.7091686E+00 -0.7009760E+00
       300      7 -0.5590676E+00  0.7070866E+00 -0.4329803E+00
       300      8 -0.4585642E-01  0.7072433E+00 -0.7054815E+00
       300      9 -0.6377628E-01  0.7086193E+00 -0.7027029E+00
       300     10 -0.4393639E+00  0.7070850E+00 -0.5540669E+00
       300     11 -0.4645908E-01  0.7071888E+00 -0.7054967E+00
       300     12 -0.5495530E-01  0.7080331E+00 -0.7040377E+00
       300     13 -0.2941799E+00  0.7070895E+00 -0.6430262E+00
       300     14 -0.4704420E-01  0.7071341E+00 -0.7055127E+00
       300     15 -0.4912410E-01  0.7074202E+00 -0.7050840E+00
       300     16 -0.1319345E+00  0.7070996E+00 -0.6946966E+00
       300     17 -0.4761198E-01  0.7070794E+00 -0.7055294E+00
       300     18 -0.4628411E-01  0.7067903E+00 -0.7059074E+00
       300     19  0.3796277E-01  0.7071153E+00 -0.7060785E+00
       300     20 -0.4816259E-01  0.7070247E+00 -0.7055469E+00
       300     21 -0.4643364E-01  0.7061527E+00 -0.7065354E+00
       300     22  0.2056578E+00  0.7071362E+00 -0.6765081E+00
       300     23 -0.4869622E-01  0.7069699E+00 -0.7055652E+00
       300     24 -0.4956824E-01  0.7055169E+00 -0.7069575E+00
       300     25  0.3614231E+00  0.7071612E+00 -0.6076976E+00
       300     26 -0.4921306E-01  0.7069152E+00 -0.7055842E+00
       300     27 -0.5568043E-01  0.7048922E+00 -0.7071256E+00
       300     28  0.4962226E+00  0.7071874E+00 -0.5036359E+00
       300     29 -0.4971328E-01  0.7068605E+00 -0.7056039E+00
       300     30 -0.6475846E-01  0.7042888E+00 -0.7069538E+00
       300     31  0.6022358E+00  0.7072106E+00 -0.3703582E+00

       400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       400      1  0.6307028E-01  0.7071068E+00  0.7042884E+00
       400      2  0.6141201E-01  0.7052229E+00  0.7063209E+00
       400      3  0.1081155E+00  0.7154223E+00  0.6902767E+00
       400      4  0.7068214E+00  0.7070081E+00  0.2330349E-01
       400      5  0.6182136E-01  0.7056425E+00  0.7058660E+00
       400      6  0.9119771E-01  0.7135893E+00  0.6946029E+00
       400      7  0.6631103E+00  0.7070476E+00  0.2456998E+00
       400      8  0.6220729E-01  0.7060615E+00  0.7054130E+00
       400      9  0.7820523E-01  0.7117457E+00  0.6980702E+00
       400     10  0.5512973E+00  0.7070791E+00  0.4428436E+00
       400     11  0.6256990E-01  0.7064799E+00  0.7049618E+00
       400     12  0.6916963E-01  0.7098948E+00  0.7009030E+00
       400     13  0.3828678E+00  0.7071002E+00  0.5944927E+00
       400     14  0.6290928E-01  0.7068979E+00  0.7045124E+00
       400     15  0.6410812E-01  0.7080377E+00  0.7032587E+00
       400     16  0.1751205E+00  0.7071080E+00  0.6850774E+00
       400     17  0.6322551E-01  0.7073156E+00  0.7040648E+00
       400     18  0.6302818E-01  0.7061741E+00  0.7052274E+00
       400     19 -0.5060915E-01  0.7071026E+00  0.7052976E+00
       400     20  0.6351870E-01  0.7077329E+00  0.7036189E+00
       400     21  0.6593014E-01  0.7043027E+00  0.7068316E+00
       400     22 -0.2711386E+00  0.7070886E+00  0.6530770E+00
       400     23  0.6378892E-01  0.7081499E+00  0.7031747E+00
       400     24  0.7280796E-01  0.7024228E+00  0.7080263E+00
       400     25 -0.4638181E+00  0.7070744E+00  0.5337776E+00
       400     26  0.6403627E-01  0.7085668E+00  0.7027321E+00
       400     27  0.8364799E-01  0.7005344E+00  0.7086992E+00
       400     28 -0.6088568E+00  0.7070679E+00  0.3596505E+00
       400     29  0.6426083E-01  0.7089836E+00  0.7022911E+00
       400     30  0.9842596E-01  0.6986393E+00  0.7086716E+00
       400     31 -0.6913550E+00  0.7070729E+00  0.1485805E+00

       500      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       500      1 -0.7877888E-01  0.7071068E+00 -0.7027047E+00
       500      2 -0.7975589E-01  0.7065773E+00 -0.7031269E+00
       500      3 -0.1291084E+00  0.7054143E+00 -0.6969374E+00
       500      4 -0.6638854E+00  0.7071156E+00  0.2434002E+00
       500      5 -0.7959065E-01  0.7066942E+00 -0.7030282E+00
       500      6 -0.1093003E+00  0.7057120E+00 -0.7000172E+00
       500      7 -0.7061989E+00  0.7070965E+00 -0.3602426E-01
       500      8 -0.7939550E-01  0.7068116E+00 -0.7029322E+00
       500      9 -0.9438638E-01  0.7060685E+00 -0.7018251E+00
       500     10 -0.6357096E+00  0.7070812E+00 -0.3096925E+00
       500     11 -0.7917076E-01  0.7069295E+00 -0.7028390E+00
       500     12 -0.8441686E-01  0.7064671E+00 -0.7026934E+00
       500     13 -0.4636835E+00  0.7070791E+00 -0.5338883E+00
       500     14 -0.7891675E-01  0.7070477E+00 -0.7027487E+00
       500     15 -0.7941495E-01  0.7068908E+00 -0.7028504E+00
       500     16 -0.2176040E+00  0.7070942E+00 -0.6728048E+00
       500     17 -0.7863381E-01  0.7071659E+00 -0.7026615E+00
       500     18 -0.7938533E-01  0.7073227E+00 -0.7024191E+00
       500     19  0.6322125E-01  0.7071210E+00 -0.7042606E+00
       500     20 -0.7832226E-01  0.7072840E+00 -0.7025773E+00
       500     21 -0.8431892E-01  0.7077459E+00 -0.7014172E+00
       500     22  0.3339392E+00  0.7071489E+00 -0.6232376E+00
       500     23 -0.7798242E-01  0.7074019E+00 -0.7024965E+00
       500     24 -0.9419399E-01  0.7081435E+00 -0.6997573E+00
       500     25  0.5513136E+00  0.7071708E+00 -0.4426769E+00
       500     26 -0.7761462E-01  0.7075193E+00 -0.7024190E+00
       500     27 -0.1089736E+00  0.7084987E+00 -0.6972477E+00
       500     28  0.6806275E+00  0.7071830E+00 -0.1914117E+00
       500     29 -0.7721919E-01  0.7076360E+00 -0.7023449E+00
       500     30 -0.1285990E+00  0.7087951E+00 -0.6935934E+00
       500     31  0.7012256E+00  0.7071804E+00  0.9043509E-01

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1  0.9444820E-01  0.7071068E+00  0.7007707E+00
       600      2  0.9411813E-01  0.7067145E+00  0.7012106E+00
       600      3  0.1601428E+00  0.6940049E+00  0.7019341E+00
       600      4  0.5241848E+00  0.7070048E+00 -0.4747364E+00
       600      5  0.9425213E-01  0.7068030E+00  0.7011034E+00
       600      6  0.1352410E+00  0.6968710E+00  0.7043299E+00
       600      7  0.6846398E+00  0.7070338E+00 -0.1771204E+00
       600      8  0.9435134E-01  0.7068906E+00  0.7010018E+00
       600      9  0.1161734E+00  0.6997790E+00  0.7048497E+00
       600     10  0.6885748E+00  0.7070698E+00  0.1609876E+00
       600     11  0.9441591E-01  0.7069774E+00  0.7009055E+00
       600     12  0.1030205E+00  0.7027079E+00  0.7039804E+00
       600     13  0.5350827E+00  0.7070947E+00  0.4622808E+00
       600     14  0.9444601E-01  0.7070637E+00  0.7008144E+00
       600     15  0.9581701E-01  0.7056419E+00  0.7020603E+00
       600     16  0.2592567E+00  0.7071052E+00  0.6578664E+00
       600     17  0.9444183E-01  0.7071498E+00  0.7007282E+00
       600     18  0.9456597E-01  0.7085684E+00  0.6992769E+00
       600     19 -0.7583545E-01  0.7071067E+00  0.7030285E+00
       600     20  0.9440351E-01  0.7072357E+00  0.7006466E+00
       600     21  0.9924710E-01  0.7114761E+00  0.6956664E+00
       600     22 -0.3935775E+00  0.7071031E+00  0.5874538E+00
       600     23  0.9433124E-01  0.7073217E+00  0.7005695E+00
       600     24  0.1098184E+00  0.7143534E+00  0.6911145E+00
       600     25 -0.6213267E+00  0.7071007E+00  0.3375822E+00
       600     26  0.9422517E-01  0.7074080E+00  0.7004967E+00
       600     27  0.1262114E+00  0.7171860E+00  0.6853575E+00
       600     28 -0.7070213E+00  0.7071136E+00  0.1055092E-01
       600     29  0.9408549E-01  0.7074948E+00  0.7004278E+00
       600     30  0.1483204E+00  0.7199557E+00  0.6779858E+00
       600     31 -0.6310772E+00  0.7071504E+00 -0.3188729E+00

       700      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       700      1 -0.1100704E+00  0.7071068E+00 -0.6984873E+00
       700      2 -0.1115870E+00  0.7051515E+00 -0.7002211E+00
       700      3 -0.1928519E+00  0.6976941E+00 -0.6899501E+00
       700      4 -0.3078282E+00  0.7071665E+00  0.6365198E+00
       700      5 -0.1113183E+00  0.7055859E+00 -0.6998262E+00
       700      6 -0.1626057E+00  0.6998751E+00 -0.6955101E+00
       700      7 -0.6001842E+00  0.7071492E+00  0.3737899E+00
       700      8 -0.1110108E+00  0.7060205E+00 -0.6994367E+00
       700      9 -0.1390330E+00  0.7019968E+00 -0.6984772E+00
       700     10 -0.7070792E+00  0.7071204E+00 -0.4445849E-02
       700     11 -0.1106642E+00  0.7064551E+00 -0.6990527E+00
       700     12 -0.1222777E+00  0.7040677E+00 -0.6995261E+00
       700     13 -0.5954819E+00  0.7071024E+00 -0.3813234E+00
       700     14 -0.1102782E+00  0.7068896E+00 -0.6986743E+00
       700     15 -0.1124116E+00  0.7061003E+00 -0.6991323E+00
       700     16 -0.2998714E+00  0.7071003E+00 -0.6403798E+00
       700     17 -0.1098527E+00  0.7073239E+00 -0.6983017E+00
       700     18 -0.1094568E+00  0.7081093E+00 -0.6975676E+00
       700     19  0.8840377E-01  0.7071184E+00 -0.7015471E+00
       700     20 -0.1093873E+00  0.7077580E+00 -0.6979349E+00
       700     21 -0.1133982E+00  0.7101103E+00 -0.6948987E+00
       700     22  0.4493509E+00  0.7071499E+00 -0.5459146E+00
       700     23 -0.1088818E+00  0.7081916E+00 -0.6975739E+00
       700     24 -0.1241866E+00  0.7121190E+00 -0.6909879E+00
       700     25  0.6714228E+00  0.7071723E+00 -0.2215823E+00
       700     26 -0.1083359E+00  0.7086247E+00 -0.6972190E+00
       700     27 -0.1417306E+00  0.7141488E+00 -0.6854954E+00
       700     28  0.6859970E+00  0.7071732E+00  0.1712135E+00
       700     29 -0.1077493E+00  0.7090572E+00 -0.6968701E+00
       700     30 -0.1658793E+00  0.7162105E+00 -0.6778839E+00
       700     31  0.4885796E+00  0.7071578E+00  0.5110948E+00

       800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       800      1  0.1256378E+00  0.7071068E+00  0.6958557E+00
       800      2  0.1256786E+00  0.7073232E+00  0.6956283E+00
       800      3  0.2161344E+00  0.7109583E+00  0.6691967E+00
       800      4  0.4668937E-01  0.7069806E+00 -0.7056901E+00
       800      5  0.1257491E+00  0.7072747E+00  0.6956649E+00
       800      6  0.1827212E+00  0.7102692E+00  0.6798019E+00
       800      7  0.4608542E+00  0.7070139E+00 -0.5364184E+00
       800      8  0.1257741E+00  0.7072265E+00  0.6957093E+00
       800      9  0.1567450E+00  0.7094545E+00  0.6870992E+00
       800     10  0.6905299E+00  0.7070552E+00 -0.1524511E+00
       800     11  0.1257538E+00  0.7071786E+00  0.6957618E+00
       800     12  0.1384418E+00  0.7085528E+00  0.6919442E+00
       800     13  0.6437850E+00  0.7070913E+00  0.2925110E+00
       800     14  0.1256878E+00  0.7071307E+00  0.6958223E+00
       800     15  0.1279416E+00  0.7075965E+00  0.6949375E+00
       800     16  0.3393315E+00  0.7071086E+00  0.6203641E+00
       800     17  0.1255763E+00  0.7070828E+00  0.6958911E+00
       800     18  0.1253017E+00  0.7066138E+00  0.6964168E+00
       800     19 -0.1009615E+00  0.7071005E+00  0.6998683E+00
       800     20  0.1254192E+00  0.7070349E+00  0.6959682E+00
       800     21  0.1305245E+00  0.7056314E+00  0.6964536E+00
       800     22 -0.5008357E+00  0.7070897E+00  0.4991871E+00
       800     23  0.1252164E+00  0.7069868E+00  0.6960536E+00
       800     24  0.1435614E+00  0.7046765E+00  0.6948533E+00
       800     25 -0.7002008E+00  0.7070958E+00  0.9866259E-01
       800     26  0.1249678E+00  0.7069383E+00  0.6961474E+00
       800     27  0.1643002E+00  0.7037792E+00  0.6911586E+00
       800     28 -0.6192424E+00  0.7071280E+00 -0.3413340E+00
       800     29  0.1246734E+00  0.7068895E+00  0.6962498E+00
       800     30  0.1925394E+00  0.7029747E+00  0.6846569E+00
       800     31 -0.2903884E+00  0.7071968E+00 -0.6446296E+00

       900      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       900      1 -0.1411425E+00  0.7071068E+00 -0.6928772E+00
       900      2 -0.1389873E+00  0.7056833E+00 -0.6947616E+00
       900      3 -0.2323926E+00  0.7147331E+00 -0.6596592E+00
       900      4  0.2214805E+00  0.7070932E+00  0.6715397E+00
       900      5 -0.1395527E+00  0.7060015E+00 -0.6943248E+00
       900      6 -0.1973539E+00  0.7130679E+00 -0.6727448E+00
       900      7 -0.2790922E+00  0.7071124E+00  0.6496919E+00
       900      8 -0.1400691E+00  0.7063184E+00 -0.6938983E+00
       900      9 -0.1705178E+00  0.7113754E+00 -0.6818128E+00
       900     10 -0.6395248E+00  0.7071124E+00  0.3016622E+00
       900     11 -0.1405361E+00  0.7066343E+00 -0.6934822E+00
       900     12 -0.1522167E+00  0.7096716E+00 -0.6878926E+00
       900     13 -0.6788880E+00  0.7070973E+00 -0.1977992E+00
       900     14 -0.1409530E+00  0.7069494E+00 -0.6930763E+00
       900     15 -0.1426348E+00  0.7079629E+00 -0.6916964E+00
       900     16 -0.3774459E+00  0.7070982E+00 -0.5979520E+00
       900     17 -0.1413193E+00  0.7072641E+00 -0.6926806E+00
       900     18 -0.1418546E+00  0.7062492E+00 -0.6936061E+00
       900     19  0.1134658E+00  0.7071174E+00 -0.6979330E+00
       900     20 -0.1416342E+00  0.7075786E+00 -0.6922950E+00
       900     21 -0.1498815E+00  0.7045282E+00 -0.6936681E+00
       900     22  0.5474093E+00  0.7071383E+00 -0.4475471E+00
       900     23 -0.1418973E+00  0.7078932E+00 -0.6919193E+00
       900     24 -0.1666473E+00  0.7027992E+00 -0.6915938E+00
       900     25  0.7065333E+00  0.7071440E+00  0.2753201E-01
       900     26 -0.1421079E+00  0.7082083E+00 -0.6915536E+00
       900     27 -0.1919933E+00  0.7010663E+00 -0.6867638E+00
       900     28  0.5109377E+00  0.7071136E+00  0.4888079E+00
       900     29 -0.1422655E+00  0.7085241E+00 -0.6911976E+00
       900     30 -0.2256313E+00  0.6993428E+00 -0.6782405E+00
       900     31  0.5881439E-01  0.7070769E+00  0.7046865E+00

      1000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1000      1  0.1565769E+00  0.7071068E+00  0.6895533E+00
      1000      2  0.1552982E+00  0.7059265E+00  0.6910501E+00
      1000      3  0.2541322E+00  0.7037759E+00  0.6634126E+00
      1000      4 -0.4570916E+00  0.7070720E+00 -0.5395521E+00
      1000      5  0.1556809E+00  0.7061872E+00  0.6906976E+00
      1000      6  0.2161951E+00  0.7043394E+00  0.6761403E+00
      1000      7  0.7187315E-01  0.7070264E+00 -0.7035253E+00
      1000      8  0.1560075E+00  0.7064491E+00  0.6903560E+00
      1000      9  0.1872511E+00  0.7050379E+00  0.6840019E+00
      1000     10  0.5567823E+00  0.7070347E+00 -0.4359994E+00
      1000     11  0.1562777E+00  0.7067119E+00  0.6900258E+00
      1000     12  0.1677298E+00  0.7058294E+00  0.6882380E+00
      1000     13  0.7001809E+00  0.7070758E+00  0.9894694E-01
      1000     14  0.1564913E+00  0.7069751E+00  0.6897077E+00
      1000     15  0.1578599E+00  0.7066752E+00  0.6897031E+00
      1000     16  0.4141063E+00  0.7071020E+00  0.5731691E+00
      1000     17  0.1566482E+00  0.7072384E+00  0.6894020E+00
      1000     18  0.1577319E+00  0.7075381E+00  0.6888472E+00
      1000     19 -0.1259563E+00  0.7071057E+00  0.6957992E+00
      1000     20  0.1567481E+00  0.7075015E+00  0.6891093E+00
      1000     21  0.1673308E+00  0.7083818E+00  0.6857082E+00
      1000     22 -0.5887480E+00  0.7070957E+00  0.3916521E+00
      1000     23  0.1567907E+00  0.7077639E+00  0.6888301E+00
      1000     24  0.1865406E+00  0.7091695E+00  0.6799127E+00
      1000     25 -0.6904174E+00  0.7071093E+00 -0.1527098E+00
      1000     26  0.1567760E+00  0.7080253E+00  0.6885648E+00
      1000     27  0.2151203E+00  0.7098630E+00  0.6706846E+00
      1000     28 -0.3686010E+00  0.7071461E+00 -0.6033885E+00
      1000     29  0.1567037E+00  0.7082853E+00  0.6883138E+00
      1000     30  0.2526510E+00  0.7104213E+00  0.6568630E+00
      1000     31  0.1793033E+00  0.7071935E+00 -0.6839062E+00
