# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00

      2000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2000      1 -0.7006647E+00  0.7071068E+00  0.9523128E-01
      2000      2 -0.7024852E+00  0.7071068E+00  0.8071295E-01
      2000      3  0.7073449E+00  0.7046464E+00  0.5600597E-01
      2000      4  0.7068826E+00  0.7071068E+00 -0.1780345E-01
      2000      5 -0.7019132E+00  0.7071068E+00  0.8554452E-01
      2000      6  0.2380612E+00  0.6993935E+00  0.6739255E+00
      2000      7  0.8800651E-01  0.7071068E+00 -0.7016088E+00
      2000      8 -0.7014256E+00  0.7071068E+00  0.8945452E-01
      2000      9 -0.3569388E+00  0.7033435E+00  0.6147379E+00
      2000     10 -0.6805700E+00  0.7071068E+00 -0.1918972E+00
      2000     11 -0.7010375E+00  0.7071068E+00  0.9244732E-01
      2000     12 -0.6332221E+00  0.7064497E+00  0.3161625E+00
      2000     13 -0.2915290E+00  0.7071068E+00  0.6442134E+00
      2000     14 -0.7007597E+00  0.7071068E+00  0.9452941E-01
      2000     15 -0.6967009E+00  0.7071391E+00  0.1206733E+00
      2000     16  0.5933322E+00  0.7071068E+00  0.3846517E+00
      2000     17 -0.7005997E+00  0.7071068E+00  0.9570831E-01
      2000     18 -0.6967704E+00  0.7070744E+00  0.1206513E+00
      2000     19  0.4691558E+00  0.7071068E+00 -0.5290491E+00
      2000     20 -0.7005610E+00  0.7071068E+00  0.9599155E-01
      2000     21 -0.6323439E+00  0.7077631E+00  0.3149803E+00
      2000     22 -0.4527920E+00  0.7071068E+00 -0.5431201E+00
      2000     23 -0.7006437E+00  0.7071068E+00  0.9538570E-01
      2000     24 -0.3531320E+00  0.7108502E+00  0.6082679E+00
      2000     25 -0.6048564E+00  0.7071068E+00  0.3662632E+00
      2000     26 -0.7008450E+00  0.7071068E+00  0.9389539E-01
      2000     27  0.2428914E+00  0.7146972E+00  0.6559053E+00
      2000     28  0.2714023E+00  0.7071068E+00  0.6529478E+00
      2000     29 -0.7011588E+00  0.7071068E+00  0.9152231E-01
      2000     30  0.7043062E+00  0.7093061E+00  0.2894260E-01
      2000     31  0.6862823E+00  0.7071068E+00 -0.1703428E+00

      4000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4000      1 -0.1887273E+00  0.7071068E+00 -0.6814558E+00
      4000      2 -0.1729899E+00  0.7071068E+00 -0.6856198E+00
      4000      3  0.8568380E-01  0.7029459E+00 -0.7060633E+00
      4000      4 -0.3559527E-01  0.7071068E+00 -0.7062103E+00
      4000      5 -0.1797938E+00  0.7071068E+00 -0.6838671E+00
      4000      6  0.4459571E+00  0.7060403E+00  0.5501176E+00
      4000      7 -0.1746455E+00  0.7071068E+00  0.6852000E+00
      4000      8 -0.1846575E+00  0.7071068E+00 -0.6825699E+00
      4000      9 -0.6190379E+00  0.7019981E+00  0.3521232E+00
      4000     10  0.3693917E+00  0.7071068E+00 -0.6029509E+00
      4000     11 -0.1876448E+00  0.7071068E+00 -0.6817547E+00
      4000     12 -0.5652209E+00  0.7071029E+00 -0.4248892E+00
      4000     13 -0.5311982E+00  0.7071068E+00  0.4667210E+00
      4000     14 -0.1888113E+00  0.7071068E+00 -0.6814326E+00
      4000     15 -0.2374807E+00  0.7075824E+00 -0.6655299E+00
      4000     16  0.6455213E+00  0.7071068E+00 -0.2886214E+00
      4000     17 -0.1882061E+00  0.7071068E+00 -0.6816000E+00
      4000     18 -0.2380961E+00  0.7066307E+00 -0.6663207E+00
      4000     19 -0.7020337E+00  0.7071068E+00  0.8454986E-01
      4000     20 -0.1858731E+00  0.7071068E+00 -0.6822399E+00
      4000     21 -0.5644279E+00  0.7071100E+00 -0.4259302E+00
      4000     22  0.6955680E+00  0.7071068E+00  0.1272211E+00
      4000     23 -0.1818540E+00  0.7071068E+00 -0.6833221E+00
      4000     24 -0.6090044E+00  0.7121768E+00  0.3491674E+00
      4000     25 -0.6266003E+00  0.7071068E+00 -0.3276768E+00
      4000     26 -0.1761902E+00  0.7071068E+00 -0.6848044E+00
      4000     27  0.4587681E+00  0.7080533E+00  0.5368355E+00
      4000     28  0.5012300E+00  0.7071068E+00  0.4987670E+00
      4000     29 -0.1689245E+00  0.7071068E+00 -0.6866328E+00
      4000     30  0.8430045E-01  0.7112455E+00 -0.6978705E+00
      4000     31 -0.3306530E+00  0.7071068E+00 -0.6250349E+00

      6000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6000      1  0.6498301E+00  0.7071067E+00 -0.2787846E+00
      6000      2  0.6585202E+00  0.7071067E+00 -0.2575872E+00
      6000      3 -0.6931002E+00  0.7072782E+00 -0.1391749E+00
      6000      4 -0.7050904E+00  0.7071067E+00  0.5336328E-01
      6000      5  0.6549514E+00  0.7071067E+00 -0.2665310E+00
      6000      6  0.6084748E+00  0.7089762E+00  0.3565265E+00
      6000      7  0.2585677E+00  0.7071067E+00 -0.6581359E+00
      6000      8  0.6522562E+00  0.7071067E+00 -0.2730604E+00
      6000      9 -0.7112420E+00  0.7028797E+00 -0.9743513E-02
      6000     10  0.4800761E+00  0.7071067E+00  0.5191599E+00
      6000     11  0.6505163E+00  0.7071067E+00 -0.2771796E+00
      6000     12  0.1287057E+00  0.7069568E+00 -0.6954473E+00
      6000     13 -0.6763727E+00  0.7071067E+00  0.2062039E+00
      6000     14  0.6497951E+00  0.7071067E+00 -0.2788663E+00
      6000     15  0.6155343E+00  0.7075078E+00 -0.3472034E+00
      6000     16  0.1089687E+00  0.7071067E+00 -0.6986601E+00
      6000     17  0.6501331E+00  0.7071067E+00 -0.2780774E+00
      6000     18  0.6156275E+00  0.7067049E+00 -0.3486704E+00
      6000     19  0.5813511E+00  0.7071067E+00  0.4025306E+00
      6000     20  0.6515442E+00  0.7071067E+00 -0.2747549E+00
      6000     21  0.1285289E+00  0.7072567E+00 -0.6951750E+00
      6000     22 -0.6157227E+00  0.7071067E+00  0.3476862E+00
      6000     23  0.6540107E+00  0.7071067E+00 -0.2688310E+00
      6000     24 -0.7029104E+00  0.7112784E+00 -0.3802309E-03
      6000     25 -0.4426946E-01  0.7071067E+00 -0.7057197E+00
      6000     26  0.6574785E+00  0.7071067E+00 -0.2602346E+00
      6000     27  0.6119571E+00  0.7052330E+00  0.3579874E+00
      6000     28  0.6542769E+00  0.7071067E+00  0.2681824E+00
      6000     29  0.6618524E+00  0.7071067E+00 -0.2489004E+00
      6000     30 -0.6981713E+00  0.7067144E+00 -0.1145057E+00
      6000     31 -0.5269723E+00  0.7071067E+00  0.4714872E+00

      8000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      8000      1  0.3637622E+00  0.7071067E+00  0.6063639E+00
      8000      2  0.3283559E+00  0.7071067E+00  0.6262448E+00
      8000      3 -0.1720156E+00  0.6991848E+00  0.6939389E+00
      8000      4  0.7109965E-01  0.7071067E+00  0.7035232E+00
      8000      5  0.3415918E+00  0.7071067E+00  0.6191245E+00
      8000      6  0.7007591E+00  0.7013751E+00  0.1304206E+00
      8000      7 -0.3384696E+00  0.7071067E+00  0.6208369E+00
      8000      8  0.3517731E+00  0.7071067E+00  0.6133969E+00
      8000      9 -0.6079810E+00  0.7040092E+00 -0.3670560E+00
      8000     10 -0.6299616E+00  0.7071067E+00  0.3211674E+00
      8000     11  0.3588824E+00  0.7071067E+00  0.6092647E+00
      8000     12  0.6801081E+00  0.7064648E+00 -0.1958581E+00
      8000     13 -0.7012275E+00  0.7071067E+00 -0.9099466E-01
      8000     14  0.3629093E+00  0.7071067E+00  0.6068747E+00
      8000     15  0.4471367E+00  0.7075002E+00  0.5472771E+00
      8000     16 -0.5269678E+00  0.7071067E+00 -0.4714923E+00
      8000     17  0.3638366E+00  0.7071067E+00  0.6063192E+00
      8000     18  0.4486187E+00  0.7067124E+00  0.5470821E+00
      8000     19 -0.1678865E+00  0.7071067E+00 -0.6868873E+00
      8000     20  0.3616258E+00  0.7071067E+00  0.6076404E+00
      8000     21  0.6791431E+00  0.7077477E+00 -0.1945710E+00
      8000     22  0.2502902E+00  0.7071067E+00 -0.6613281E+00
      8000     23  0.3562029E+00  0.7071067E+00  0.6108351E+00
      8000     24 -0.6100047E+00  0.7101185E+00 -0.3516048E+00
      8000     25  0.5807394E+00  0.7071067E+00 -0.4034127E+00
      8000     26  0.3474471E+00  0.7071067E+00  0.6158576E+00
      8000     27  0.6899109E+00  0.7127917E+00  0.1262969E+00
      8000     28  0.7070983E+00  0.7071067E+00 -0.3483789E-02
      8000     29  0.3351809E+00  0.7071067E+00  0.6226186E+00
      8000     30 -0.1652363E+00  0.7149421E+00  0.6793782E+00
      8000     31  0.5845499E+00  0.7071067E+00  0.3978712E+00

     10000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     10000      1 -0.5518491E+00  0.7071067E+00  0.4421116E+00
     10000      2 -0.5811848E+00  0.7071067E+00  0.4027709E+00
     10000      3  0.6703251E+00  0.7092969E+00  0.2180875E+00
     10000      4  0.7015103E+00  0.7071067E+00 -0.8878892E-01
     10000      5 -0.5699202E+00  0.7071067E+00  0.4185583E+00
     10000      6  0.7017320E+00  0.7044482E+00 -0.1064187E+00
     10000      7  0.4131075E+00  0.7071067E+00 -0.5738835E+00
     10000      8 -0.5612381E+00  0.7071067E+00  0.4301301E+00
     10000      9 -0.3411378E+00  0.7064221E+00 -0.6201555E+00
     10000     10 -0.1381529E+00  0.7071067E+00 -0.6934795E+00
     10000     11 -0.5553338E+00  0.7071067E+00  0.4377265E+00
     10000     12  0.4783735E+00  0.7071896E+00  0.5206167E+00
     10000     13 -0.6013413E+00  0.7071067E+00 -0.3720064E+00
     10000     14 -0.5522933E+00  0.7071067E+00  0.4415566E+00
     10000     15 -0.4632486E+00  0.7075625E+00  0.5336254E+00
     10000     16 -0.6822882E+00  0.7071067E+00  0.1856956E+00
     10000     17 -0.5521136E+00  0.7071067E+00  0.4417812E+00
     10000     18 -0.4622011E+00  0.7066490E+00  0.5357401E+00
     10000     19 -0.3301297E+00  0.7071067E+00  0.6253115E+00
     10000     20 -0.5547174E+00  0.7071067E+00  0.4385073E+00
     10000     21  0.4776821E+00  0.7070234E+00  0.5214764E+00
     10000     22  0.2312330E+00  0.7071067E+00  0.6682301E+00
     10000     23 -0.5599641E+00  0.7071067E+00  0.4317873E+00
     10000     24 -0.3513807E+00  0.7077358E+00 -0.6128962E+00
     10000     25  0.6458858E+00  0.7071067E+00  0.2878048E+00
     10000     26 -0.5676607E+00  0.7071067E+00  0.4216176E+00
     10000     27  0.6933832E+00  0.7096178E+00 -0.1251491E+00
     10000     28  0.6516026E+00  0.7071067E+00 -0.2746163E+00
     10000     29 -0.5775750E+00  0.7071067E+00  0.4079305E+00
     10000     30  0.6803828E+00  0.7047821E+00  0.2009016E+00
     10000     31  0.2453356E+00  0.7071067E+00 -0.6631821E+00

     12000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     12000      1 -0.5124053E+00  0.7071067E+00 -0.4872791E+00
     12000      2 -0.4766799E+00  0.7071067E+00 -0.5222800E+00
     12000      3  0.2568014E+00  0.6970239E+00 -0.6694854E+00
     12000      4 -0.1064227E+00  0.7071067E+00 -0.6990525E+00
     12000      5 -0.4918949E+00  0.7071067E+00 -0.5079759E+00
     12000      6  0.6162727E+00  0.7101412E+00 -0.3404518E+00
     12000      7 -0.4813215E+00  0.7071067E+00  0.5180056E+00
     12000      8 -0.5026983E+00  0.7071067E+00 -0.4972872E+00
     12000      9  0.1429149E-01  0.7094881E+00 -0.7045725E+00
     12000     10  0.7049466E+00  0.7071067E+00  0.5523108E-01
     12000     11 -0.5094507E+00  0.7071067E+00 -0.4903673E+00
     12000     12 -0.2531217E+00  0.7067919E+00  0.6605865E+00
     12000     13 -0.3944827E+00  0.7071067E+00 -0.5868420E+00
     12000     14 -0.5123612E+00  0.7071067E+00 -0.4873255E+00
     12000     15 -0.6051528E+00  0.7071087E+00 -0.3657697E+00
     12000     16 -0.2153340E+00  0.7071067E+00  0.6735216E+00
     12000     17 -0.5115108E+00  0.7071067E+00 -0.4882181E+00
     12000     18 -0.6064513E+00  0.7071025E+00 -0.3636246E+00
     12000     19  0.6618849E+00  0.7071067E+00 -0.2488142E+00
     12000     20 -0.5068772E+00  0.7071067E+00 -0.4930270E+00
     12000     21 -0.2527651E+00  0.7074213E+00  0.6600492E+00
     12000     22 -0.6055047E+00  0.7071067E+00 -0.3651906E+00
     12000     23 -0.4983613E+00  0.7071067E+00 -0.5016335E+00
     12000     24  0.5899678E-02  0.7046921E+00 -0.7094887E+00
     12000     25  0.8836524E-01  0.7071067E+00  0.7015638E+00
     12000     26 -0.4858188E+00  0.7071067E+00 -0.5137900E+00
     12000     27  0.6168459E+00  0.7040271E+00 -0.3519190E+00
     12000     28  0.4962913E+00  0.7071067E+00 -0.5036815E+00
     12000     29 -0.4690991E+00  0.7071067E+00 -0.5290994E+00
     12000     30  0.2426028E+00  0.7170343E+00 -0.6534567E+00
     12000     31 -0.7027528E+00  0.7071067E+00 -0.7834927E-01

     14000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     14000      1  0.4138303E+00  0.7071067E+00 -0.5733625E+00
     14000      2  0.4632709E+00  0.7071067E+00 -0.5342099E+00
     14000      3 -0.6400179E+00  0.7103153E+00 -0.2929664E+00
     14000      4 -0.6961513E+00  0.7071067E+00  0.1239899E+00
     14000      5  0.4446863E+00  0.7071067E+00 -0.5497765E+00
     14000      6  0.4650162E+00  0.7022616E+00 -0.5390627E+00
     14000      7  0.5420504E+00  0.7071067E+00 -0.4540721E+00
     14000      8  0.4301065E+00  0.7071067E+00 -0.5612562E+00
     14000      9  0.3645226E+00  0.7095722E+00 -0.6030179E+00
     14000     10 -0.2444698E+00  0.7071067E+00  0.6635018E+00
     14000     11  0.4199662E+00  0.7071067E+00 -0.5688836E+00
     14000     12 -0.7043077E+00  0.7065320E+00  0.6901597E-01
     14000     13 -0.1174498E+00  0.7071067E+00 -0.6972845E+00
     14000     14  0.4146208E+00  0.7071067E+00 -0.5727912E+00
     14000     15  0.2571265E+00  0.7070696E+00 -0.6587401E+00
     14000     16  0.4480136E+00  0.7071067E+00  0.5470685E+00
     14000     17  0.4143267E+00  0.7071067E+00 -0.5730039E+00
     14000     18  0.2548196E+00  0.7071416E+00 -0.6595587E+00
     14000     19 -0.6602994E+00  0.7071067E+00 -0.2529918E+00
     14000     20  0.4192390E+00  0.7071067E+00 -0.5694197E+00
     14000     21 -0.7032839E+00  0.7076804E+00  0.6767729E-01
     14000     22  0.6989286E+00  0.7071067E+00 -0.1072331E+00
     14000     23  0.4294111E+00  0.7071067E+00 -0.5617885E+00
     14000     24  0.3627980E+00  0.7046240E+00 -0.6098219E+00
     14000     25 -0.5543440E+00  0.7071067E+00  0.4389794E+00
     14000     26  0.4447789E+00  0.7071067E+00 -0.5497016E+00
     14000     27  0.4592039E+00  0.7119203E+00 -0.5313203E+00
     14000     28  0.2649557E+00  0.7071067E+00 -0.6555903E+00
     14000     29  0.4651169E+00  0.7071067E+00 -0.5326035E+00
     14000     30 -0.6505399E+00  0.7038463E+00 -0.2853039E+00
     14000     31  0.9325267E-01  0.7071067E+00  0.7009309E+00

     16000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     16000      1  0.6238725E+00  0.7071067E+00  0.3328412E+00
     16000      2  0.5828591E+00  0.7071067E+00  0.4003442E+00
     16000      3 -0.3376090E+00  0.6971312E+00  0.6324779E+00
     16000      4  0.1414764E+00  0.7071067E+00  0.6928092E+00
     16000      5  0.5995023E+00  0.7071067E+00  0.3749628E+00
     16000      6  0.2612885E+00  0.7006180E+00 -0.6639749E+00
     16000      7 -0.5943498E+00  0.7071067E+00  0.3830777E+00
     16000      8  0.6114492E+00  0.7071067E+00  0.3551480E+00
     16000      9  0.6192206E+00  0.7068513E+00 -0.3419461E+00
     16000     10 -0.5722563E+00  0.7071067E+00 -0.4153587E+00
     16000     11  0.6192080E+00  0.7071067E+00  0.3414405E+00
     16000     12 -0.3755636E+00  0.7072282E+00 -0.5989826E+00
     16000     13  0.1804764E+00  0.7071067E+00 -0.6836874E+00
     16000     14  0.6231991E+00  0.7071067E+00  0.3341003E+00
     16000     15  0.6932440E+00  0.7067217E+00  0.1412697E+00
     16000     16  0.7027546E+00  0.7071067E+00 -0.7833335E-01
     16000     17  0.6236904E+00  0.7071067E+00  0.3331824E+00
     16000     18  0.6930802E+00  0.7074882E+00  0.1382036E+00
     16000     19  0.3261717E+00  0.7071067E+00  0.6273852E+00
     16000     20  0.6207632E+00  0.7071067E+00  0.3386047E+00
     16000     21 -0.3750022E+00  0.7069849E+00 -0.5996214E+00
     16000     22 -0.4681725E+00  0.7071067E+00  0.5299195E+00
     16000     23  0.6142933E+00  0.7071067E+00  0.3502056E+00
     16000     24  0.6187696E+00  0.7073622E+00 -0.3417059E+00
     16000     25 -0.6626373E+00  0.7071067E+00 -0.2468036E+00
     16000     26  0.6039283E+00  0.7071067E+00  0.3677918E+00
     16000     27  0.2435274E+00  0.7134686E+00 -0.6570060E+00
     16000     28 -0.6967043E-02  0.7071067E+00 -0.7070726E+00
     16000     29  0.5890506E+00  0.7071067E+00  0.3911772E+00
     16000     30 -0.3168302E+00  0.7168925E+00  0.6210345E+00
     16000     31  0.6578233E+00  0.7071067E+00 -0.2593621E+00

     18000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     18000      1 -0.2457873E+00  0.7071066E+00  0.6630149E+00
     18000      2 -0.3206212E+00  0.7071066E+00  0.6302398E+00
     18000      3  0.6024907E+00  0.7100688E+00  0.3644272E+00
     18000      4  0.6890274E+00  0.7071066E+00 -0.1588754E+00
     18000      5 -0.2903718E+00  0.7071066E+00  0.6447359E+00
     18000      6  0.1914352E-01  0.7100831E+00 -0.7038576E+00
     18000      7  0.6374067E+00  0.7071066E+00 -0.3061255E+00
     18000      8 -0.2678588E+00  0.7071066E+00  0.6544096E+00
     18000      9  0.7094021E+00  0.7046656E+00  0.1396319E-01
     18000     10  0.5550723E+00  0.7071066E+00 -0.4380582E+00
     18000     11 -0.2531818E+00  0.7071066E+00  0.6602266E+00
     18000     12  0.3690968E+00  0.7066329E+00 -0.6036866E+00
     18000     13  0.4462976E+00  0.7071066E+00 -0.5484694E+00
     18000     14 -0.2463164E+00  0.7071066E+00  0.6628185E+00
     18000     15 -0.2058482E-01  0.7063435E+00  0.7075699E+00
     18000     16  0.3165548E+00  0.7071066E+00 -0.6322920E+00
     18000     17 -0.2471718E+00  0.7071066E+00  0.6625000E+00
     18000     18 -0.1822015E-01  0.7078671E+00  0.7061106E+00
     18000     19  0.1722237E+00  0.7071066E+00 -0.6858128E+00
     18000     20 -0.2555776E+00  0.7071066E+00  0.6593029E+00
     18000     21  0.3685633E+00  0.7075800E+00 -0.6029026E+00
     18000     22  0.2026661E-01  0.7071066E+00 -0.7068164E+00
     18000     23 -0.2712383E+00  0.7071066E+00  0.6530161E+00
     18000     24  0.7044803E+00  0.7095376E+00  0.1624521E-01
     18000     25 -0.1321144E+00  0.7071066E+00 -0.6946553E+00
     18000     26 -0.2936899E+00  0.7071066E+00  0.6432312E+00
     18000     27  0.6451831E-02  0.7040618E+00 -0.7101094E+00
     18000     28 -0.2778225E+00  0.7071066E+00 -0.6502422E+00
     18000     29 -0.3222973E+00  0.7071066E+00  0.6293843E+00
     18000     30  0.6093399E+00  0.7041383E+00  0.3645464E+00
     18000     31 -0.4101942E+00  0.7071066E+00 -0.5759695E+00

     20000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     20000      1 -0.6900765E+00  0.7071066E+00 -0.1542550E+00
     20000      2 -0.6660448E+00  0.7071066E+00 -0.2374543E+00
     20000      3  0.4121053E+00  0.6993969E+00 -0.5839633E+00
     20000      4 -0.1761724E+00  0.7071066E+00 -0.6848091E+00
     20000      5 -0.6768362E+00  0.7071066E+00 -0.2046777E+00
     20000      6 -0.2289916E+00  0.7070927E+00 -0.6690163E+00
     20000      7 -0.6705511E+00  0.7071066E+00  0.2244135E+00
     20000      8 -0.6838427E+00  0.7071066E+00 -0.1798873E+00
     20000      9  0.6065487E+00  0.7031266E+00  0.3710951E+00
     20000     10  0.2709809E+00  0.7071066E+00  0.6531229E+00
     20000     11 -0.6880002E+00  0.7071066E+00 -0.1632666E+00
     20000     12  0.7050134E+00  0.7066399E+00  0.6013353E-01
     20000     13  0.6327271E+00  0.7071066E+00 -0.3156844E+00
     20000     14 -0.6898896E+00  0.7071066E+00 -0.1550887E+00
     20000     15 -0.7006662E+00  0.7063708E+00  0.1005343E+00
     20000     16 -0.3583559E+00  0.7071066E+00 -0.6095747E+00
     20000     17 -0.6897667E+00  0.7071066E+00 -0.1556345E+00
     20000     18 -0.6989020E+00  0.7078400E+00  0.1024626E+00
     20000     19 -0.5838832E+00  0.7071066E+00  0.3988491E+00
     20000     20 -0.6875545E+00  0.7071066E+00 -0.1651334E+00
     20000     21  0.7039625E+00  0.7075723E+00  0.6146759E-01
     20000     22  0.4370394E+00  0.7071066E+00  0.5558748E+00
     20000     23 -0.6828280E+00  0.7071066E+00 -0.1837013E+00
     20000     24  0.6010252E+00  0.7110626E+00  0.3649091E+00
     20000     25  0.5257736E+00  0.7071066E+00 -0.4728238E+00
     20000     26 -0.6748177E+00  0.7071066E+00 -0.2112376E+00
     20000     27 -0.2280340E+00  0.7071228E+00 -0.6693115E+00
     20000     28 -0.5061198E+00  0.7071066E+00 -0.4938046E+00
     20000     29 -0.6624684E+00  0.7071066E+00 -0.2472566E+00
     20000     30  0.3881830E+00  0.7146241E+00 -0.5819161E+00
     20000     31 -0.4601913E+00  0.7071066E+00  0.5368652E+00

     22000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     22000      1  0.5991197E-01  0.7071066E+00 -0.7045643E+00
     22000      2  0.1624674E+00  0.7071066E+00 -0.6881894E+00
     22000      3 -0.5573230E+00  0.7084864E+00 -0.4329412E+00
     22000      4 -0.6801567E+00  0.7071066E+00  0.1933575E+00
     22000      5  0.1237866E+00  0.7071066E+00 -0.6961876E+00
     22000      6 -0.4424038E+00  0.6999153E+00 -0.5607116E+00
     22000      7  0.6932681E+00  0.7071066E+00 -0.1392108E+00
     22000      8  0.9367206E-01  0.7071066E+00 -0.7008750E+00
     22000      9  0.3360895E+00  0.7017137E+00  0.6282052E+00
     22000     10 -0.7021519E+00  0.7071066E+00  0.8356383E-01
     22000     11  0.7285690E-01  0.7071066E+00 -0.7033435E+00
     22000     12  0.2602198E+00  0.7072117E+00  0.6573715E+00
     22000     13  0.7066011E+00  0.7071066E+00 -0.2674232E-01
     22000     14  0.6175659E-01  0.7071066E+00 -0.7044050E+00
     22000     15 -0.2188997E+00  0.7059928E+00 -0.6735407E+00
     22000     16 -0.7064315E+00  0.7071066E+00 -0.3090039E-01
     22000     17  0.6055324E-01  0.7071066E+00 -0.7045094E+00
     22000     18 -0.2199504E+00  0.7082175E+00 -0.6708575E+00
     22000     19  0.7014856E+00  0.7071066E+00  0.8898440E-01
     22000     20  0.6932571E-01  0.7071066E+00 -0.7037004E+00
     22000     21  0.2598137E+00  0.7070014E+00  0.6577582E+00
     22000     22 -0.6916360E+00  0.7071066E+00 -0.1471049E+00
     22000     23  0.8816765E-01  0.7071066E+00 -0.7015887E+00
     22000     24  0.3387593E+00  0.7124315E+00  0.6145595E+00
     22000     25  0.6767889E+00  0.7071066E+00  0.2048340E+00
     22000     26  0.1172593E+00  0.7071066E+00 -0.6973166E+00
     22000     27 -0.4424302E+00  0.7141822E+00 -0.5424014E+00
     22000     28 -0.6568874E+00  0.7071066E+00 -0.2617235E+00
     22000     29  0.1568354E+00  0.7071066E+00 -0.6894947E+00
     22000     30 -0.5583804E+00  0.7057358E+00 -0.4360601E+00
     22000     31  0.6319147E+00  0.7071066E+00  0.3173074E+00

     24000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     24000      1  0.7062141E+00  0.7071066E+00 -0.3552271E-01
     24000      2  0.7027255E+00  0.7071066E+00  0.7859443E-01
     24000      3 -0.4784767E+00  0.7030204E+00  0.5261391E+00
     24000      4  0.2104216E+00  0.7071066E+00  0.6750726E+00
     24000      5  0.7063327E+00  0.7071066E+00  0.3308108E-01
     24000      6 -0.5992925E+00  0.7064026E+00 -0.3766216E+00
     24000      7 -0.7052038E+00  0.7071066E+00  0.5184425E-01
     24000      8  0.7071064E+00  0.7071066E+00 -0.8954134E-03
     24000      9 -0.2598465E-01  0.7029562E+00  0.7107584E+00
     24000     10  0.1101249E+00  0.7071066E+00 -0.6984789E+00
     24000     11  0.7067250E+00  0.7071066E+00 -0.2323860E-01
     24000     12 -0.4727611E+00  0.7064997E+00  0.5266452E+00
     24000     13  0.6547781E+00  0.7071066E+00  0.2669568E+00
