# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00

      2000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2000      1 -0.7006647E+00  0.7071068E+00  0.9523127E-01
      2000      2 -0.6975184E+00  0.7073008E+00  0.1148636E+00
      2000      3  0.6896127E+00  0.7007844E+00  0.1825804E+00
      2000      4  0.5463530E+00  0.7037137E+00  0.4541866E+00
      2000      5 -0.6989606E+00  0.7072201E+00  0.1062725E+00
      2000      6  0.1653964E+00  0.6966846E+00  0.6980506E+00
      2000      7 -0.5950581E+00  0.7052032E+00 -0.3854793E+00
      2000      8 -0.6999260E+00  0.7071640E+00  0.1001136E+00
      2000      9 -0.3904888E+00  0.7013908E+00  0.5962964E+00
      2000     10  0.2617847E+00  0.7068007E+00  0.6571921E+00
      2000     11 -0.7004870E+00  0.7071307E+00  0.9635430E-01
      2000     12 -0.6400346E+00  0.7051824E+00  0.3050794E+00
      2000     13  0.4920456E+00  0.7058862E+00 -0.5095250E+00
      2000     14 -0.7006900E+00  0.7071129E+00  0.9499934E-01
      2000     15 -0.6972875E+00  0.7067174E+00  0.1197524E+00
      2000     16 -0.5606160E+00  0.7069066E+00 -0.4312687E+00
      2000     17 -0.7005557E+00  0.7071006E+00  0.9607512E-01
      2000     18 -0.6967333E+00  0.7074953E+00  0.1183770E+00
      2000     19 -0.4249117E+00  0.7070806E+00  0.5652318E+00
      2000     20 -0.7000789E+00  0.7070829E+00  0.9961575E-01
      2000     21 -0.6382554E+00  0.7090200E+00  0.2998678E+00
      2000     22  0.6099877E+00  0.7076853E+00  0.3565060E+00
      2000     23 -0.6992276E+00  0.7070495E+00  0.1056492E+00
      2000     24 -0.3880673E+00  0.7127677E+00  0.5842654E+00
      2000     25  0.6932194E-01  0.7087707E+00 -0.7020246E+00
      2000     26 -0.6979422E+00  0.7069930E+00  0.1141823E+00
      2000     27  0.1652321E+00  0.7173662E+00  0.6768191E+00
      2000     28 -0.4674634E+00  0.7067490E+00  0.5310215E+00
      2000     29 -0.6961363E+00  0.7069112E+00  0.1251836E+00
      2000     30  0.6832722E+00  0.7131753E+00  0.1565887E+00
      2000     31  0.4086524E+00  0.7088664E+00 -0.5749015E+00

      4000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4000      1 -0.1887273E+00  0.7071068E+00 -0.6814558E+00
      4000      2 -0.2362882E+00  0.7070169E+00 -0.6665545E+00
      4000      3  0.3317920E+00  0.7053121E+00 -0.6264574E+00
      4000      4  0.8944976E+00  0.4466342E+00 -0.1979898E-01
      4000      5 -0.2187196E+00  0.7068812E+00 -0.6726669E+00
      4000      6  0.3198594E+00  0.7001973E+00  0.6382896E+00
      4000      7  0.2767034E+00  0.6530065E+00  0.7049949E+00
      4000      8 -0.2048603E+00  0.7068581E+00 -0.6770405E+00
      4000      9 -0.6526936E+00  0.7025745E+00  0.2835139E+00
      4000     10 -0.1506817E+00  0.7006021E+00  0.6974609E+00
      4000     11 -0.1950779E+00  0.7069222E+00 -0.6798570E+00
      4000     12 -0.5474262E+00  0.7081649E+00 -0.4459003E+00
      4000     13 -0.1295282E+00  0.7057080E+00 -0.6965620E+00
      4000     14 -0.1896912E+00  0.7070394E+00 -0.6812581E+00
      4000     15 -0.2347094E+00  0.7078985E+00 -0.6661765E+00
      4000     16  0.6813330E+00  0.7067609E+00 -0.1904584E+00
      4000     17 -0.1889533E+00  0.7071741E+00 -0.6813233E+00
      4000     18 -0.2347070E+00  0.7063140E+00 -0.6678572E+00
      4000     19 -0.6816040E+00  0.7071231E+00  0.1881300E+00
      4000     20 -0.1930779E+00  0.7072914E+00 -0.6800440E+00
      4000     21 -0.5459372E+00  0.7060384E+00 -0.4510681E+00
      4000     22 -0.2459733E+00  0.7077322E+00 -0.6622780E+00
      4000     23 -0.2022775E+00  0.7073558E+00 -0.6772972E+00
      4000     24 -0.6476580E+00  0.7115861E+00  0.2723680E+00
      4000     25  0.4538947E+00  0.7009365E+00  0.5501523E+00
      4000     26 -0.2167827E+00  0.7073337E+00 -0.6728181E+00
      4000     27  0.3210620E+00  0.7139274E+00  0.6222755E+00
      4000     28 -0.1006849E+00  0.6537334E+00  0.7499968E+00
      4000     29 -0.2368103E+00  0.7072004E+00 -0.6661745E+00
      4000     30  0.3304954E+00  0.7088909E+00 -0.6230942E+00
      4000     31 -0.8263274E+00  0.4558654E+00 -0.3307110E+00

      6000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6000      1  0.6498301E+00  0.7071067E+00 -0.2787846E+00
      6000      2  0.6136147E+00  0.7070641E+00 -0.3514790E+00
      6000      3 -0.5264905E+00  0.6961719E+00 -0.4880086E+00
      6000      4  0.6748547E+00  0.2245634E-03  0.7379506E+00
      6000      5  0.6286201E+00  0.7069142E+00 -0.3242053E+00
      6000      6  0.4575027E+00  0.7095878E+00  0.5358884E+00
      6000      7 -0.6777829E+00  0.6874112E-01 -0.7320417E+00
      6000      8  0.6392719E+00  0.7068663E+00 -0.3027730E+00
      6000      9 -0.6981869E+00  0.7042187E+00 -0.1288843E+00
      6000     10 -0.4757988E+00  0.5775546E+00 -0.6633598E+00
      6000     11  0.6460122E+00  0.7069180E+00 -0.2879846E+00
      6000     12  0.1721559E+00  0.7071275E+00 -0.6858083E+00
      6000     13 -0.6967626E+00  0.7018622E+00  0.1480251E+00
      6000     14  0.6493311E+00  0.7070362E+00 -0.2801231E+00
      6000     15  0.6182464E+00  0.7071580E+00 -0.3430727E+00
      6000     16 -0.3477739E+00  0.7071766E+00  0.6155929E+00
      6000     17  0.6495978E+00  0.7071773E+00 -0.2791469E+00
      6000     18  0.6177449E+00  0.7070549E+00 -0.3441868E+00
      6000     19 -0.6859584E+00  0.7072323E+00 -0.1711242E+00
      6000     20  0.6469830E+00  0.7072957E+00 -0.2848610E+00
      6000     21  0.1717392E+00  0.7070857E+00 -0.6859558E+00
      6000     22 -0.6043222E+00  0.7019569E+00  0.3768967E+00
      6000     23  0.6414175E+00  0.7073480E+00 -0.2970563E+00
      6000     24 -0.6929882E+00  0.7099797E+00 -0.1252844E+00
      6000     25 -0.1975784E+00  0.5810321E+00  0.7895344E+00
      6000     26  0.6325226E+00  0.7073014E+00 -0.3156578E+00
      6000     27  0.4567024E+00  0.7046080E+00  0.5430934E+00
      6000     28 -0.9815972E+00  0.7341237E-01 -0.1762886E+00
      6000     29  0.6194630E+00  0.7071546E+00 -0.3408782E+00
      6000     30 -0.5223853E+00  0.7177648E+00 -0.4603556E+00
      6000     31 -0.8993433E+00 -0.2505580E-03 -0.4372431E+00

      8000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      8000      1  0.3637622E+00  0.7071067E+00  0.6063639E+00
      8000      2  0.4467892E+00  0.7068931E+00  0.5483444E+00
      8000      3 -0.5908386E+00  0.7041698E+00  0.3937698E+00
      8000      4  0.9579594E+00  0.5156998E-02  0.2868576E+00
      8000      5  0.4137286E+00  0.7065688E+00  0.5740985E+00
      8000      6  0.5711035E+00  0.7081481E+00  0.4151711E+00
      8000      7  0.9781838E+00  0.1629888E-02  0.2077351E+00
      8000      8  0.3887538E+00  0.7065285E+00  0.5913442E+00
      8000      9 -0.5105560E+00  0.7008570E+00 -0.4981286E+00
      8000     10 -0.9912433E+00  0.7032562E-01  0.1117634E+00
      8000     11  0.3723156E+00  0.7066908E+00  0.6016387E+00
      8000     12  0.6945033E+00  0.7057912E+00 -0.1397283E+00
      8000     13  0.9804280E-01  0.6647350E+00  0.7406180E+00
      8000     14  0.3644753E+00  0.7069579E+00  0.6061092E+00
      8000     15  0.4426887E+00  0.7072814E+00  0.5511621E+00
      8000     16  0.9409316E-01  0.7066620E+00 -0.7012669E+00
      8000     17  0.3651635E+00  0.7072556E+00  0.6053471E+00
      8000     18  0.4427638E+00  0.7069320E+00  0.5515500E+00
      8000     19 -0.6626216E+00  0.7072441E+00 -0.2464517E+00
      8000     20  0.3741646E+00  0.7075228E+00  0.5995101E+00
      8000     21  0.6927810E+00  0.7084131E+00 -0.1349270E+00
      8000     22  0.5234674E+00  0.6657748E+00  0.5317197E+00
      8000     23  0.3910018E+00  0.7076856E+00  0.5884714E+00
      8000     24 -0.5083866E+00  0.7132676E+00 -0.4824857E+00
      8000     25  0.8494971E+00  0.7473044E-01  0.5222740E+00
      8000     26  0.4148680E+00  0.7076457E+00  0.5719458E+00
      8000     27  0.5658409E+00  0.7060136E+00  0.4258742E+00
      8000     28 -0.3329618E+00  0.2081556E-02  0.9429380E+00
      8000     29  0.4447714E+00  0.7073196E+00  0.5494337E+00
      8000     30 -0.5883386E+00  0.7100147E+00  0.3869585E+00
      8000     31  0.4036985E+00  0.8139648E-02  0.9148559E+00

     10000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     10000      1 -0.5518491E+00  0.7071067E+00  0.4421116E+00
     10000      2 -0.4691300E+00  0.7067724E+00  0.5295185E+00
     10000      3  0.2310141E+00  0.6934202E+00  0.6824961E+00
     10000      4  0.1647393E+00  0.7126854E-01  0.9837590E+00
     10000      5 -0.5042557E+00  0.7065507E+00  0.4965001E+00
     10000      6  0.6525280E+00  0.7020218E+00  0.2852588E+00
     10000      7  0.3315747E+00  0.5272971E-02 -0.9434142E+00
     10000      8 -0.5284698E+00  0.7065498E+00  0.4706454E+00
     10000      9 -0.1521563E+00  0.7017717E+00 -0.6959633E+00
     10000     10  0.9951971E+00  0.1391903E-02 -0.9788171E-01
     10000     11 -0.5437613E+00  0.7067154E+00  0.4526333E+00
     10000     12  0.4206535E+00  0.7087997E+00  0.5662629E+00
     10000     13 -0.7772355E+00  0.4907039E+00 -0.3938461E+00
     10000     14 -0.5510747E+00  0.7069679E+00  0.4432979E+00
     10000     15 -0.4693837E+00  0.7076648E+00  0.5280998E+00
     10000     16 -0.3508283E+00  0.7069599E+00  0.6141068E+00
     10000     17 -0.5506930E+00  0.7072455E+00  0.4433295E+00
     10000     18 -0.4686324E+00  0.7065468E+00  0.5302597E+00
     10000     19 -0.6762367E+00  0.7069685E+00  0.2071220E+00
     10000     20 -0.5423694E+00  0.7074978E+00  0.4530809E+00
     10000     21  0.4196545E+00  0.7054049E+00  0.5712215E+00
     10000     22 -0.1810844E+00  0.4935769E+00  0.8506411E+00
     10000     23 -0.5253694E+00  0.7076631E+00  0.4724404E+00
     10000     24 -0.1538772E+00  0.7123959E+00 -0.6846998E+00
     10000     25 -0.9387714E+00  0.9735876E-03  0.3445392E+00
     10000     26 -0.4986676E+00  0.7076612E+00  0.5005459E+00
     10000     27  0.6457349E+00  0.7121383E+00  0.2754732E+00
     10000     28 -0.3402071E+00 -0.7397179E-02 -0.9403214E+00
     10000     29 -0.4614804E+00  0.7074385E+00  0.5353192E+00
     10000     30  0.2291054E+00  0.7205194E+00  0.6544941E+00
     10000     31  0.5649036E+00 -0.2971265E+00  0.7698050E+00

     12000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     12000      1 -0.5124053E+00  0.7071067E+00 -0.4872791E+00
     12000      2 -0.6034426E+00  0.7067441E+00 -0.3692829E+00
     12000      3  0.7069840E+00  0.7048506E+00 -0.5795877E-01
     12000      4 -0.9576487E+00  0.1472483E+00 -0.2474406E+00
     12000      5 -0.5726401E+00  0.7062430E+00 -0.4162982E+00
     12000      6  0.6978215E+00  0.7032953E+00  0.1357235E+00
     12000      7  0.4780840E+00  0.6458976E-02  0.8782904E+00
     12000      8 -0.5455922E+00  0.7062463E+00 -0.4511600E+00
     12000      9  0.2569674E+00  0.7081199E+00 -0.6576731E+00
     12000     10  0.7174926E+00  0.2610268E-03  0.6965660E+00
     12000     11 -0.5253774E+00  0.7065333E+00 -0.4741195E+00
     12000     12 -0.3357144E+00  0.7070877E+00  0.6223527E+00
     12000     13 -0.9880767E+00  0.1224466E+00 -0.9333409E-01
     12000     14 -0.5142334E+00  0.7069109E+00 -0.4856346E+00
     12000     15 -0.6006212E+00  0.7064323E+00 -0.3744430E+00
     12000     16  0.5968494E+00  0.7062081E+00  0.3808424E+00
     12000     17 -0.5131223E+00  0.7073025E+00 -0.4862393E+00
     12000     18 -0.6004454E+00  0.7077793E+00 -0.3721745E+00
     12000     19  0.4058943E+00  0.7065026E+00  0.5797447E+00
     12000     20 -0.5220914E+00  0.7076797E+00 -0.4760357E+00
     12000     21 -0.3349230E+00  0.7071251E+00  0.6227365E+00
     12000     22  0.7596407E+00  0.1256037E+00 -0.6380985E+00
     12000     23 -0.5407523E+00  0.7079658E+00 -0.4542812E+00
     12000     24  0.2533856E+00  0.7060873E+00 -0.6612386E+00
     12000     25 -0.8734233E+00 -0.1224567E-02 -0.4869601E+00
     12000     26 -0.5685066E+00  0.7079689E+00 -0.4190231E+00
     12000     27  0.6934965E+00  0.7107960E+00  0.1176082E+00
     12000     28 -0.6125569E+00 -0.5704968E+00  0.5470899E+00
     12000     29 -0.6038370E+00  0.7074723E+00 -0.3672380E+00
     12000     30  0.7032479E+00  0.7093252E+00 -0.4795970E-01
     12000     31 -0.6867120E+00 -0.2971264E+00  0.6634324E+00

     14000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     14000      1  0.4138303E+00  0.7071067E+00 -0.5733625E+00
     14000      2  0.2551820E+00  0.7064670E+00 -0.6601413E+00
     14000      3  0.1297687E+00  0.6935287E+00 -0.7086453E+00
     14000      4  0.1162127E+00  0.1472483E+00 -0.9822487E+00
     14000      5  0.3204954E+00  0.7062144E+00 -0.6313034E+00
     14000      6  0.7077810E+00  0.7056520E+00 -0.3318770E-01
     14000      7  0.7767040E+00  0.1580150E-01  0.6296675E+00
     14000      8  0.3683729E+00  0.7063431E+00 -0.6044674E+00
     14000      9  0.5796897E+00  0.7089480E+00 -0.4016870E+00
     14000     10  0.6027273E+00  0.7033001E-02 -0.7979163E+00
     14000     11  0.3984053E+00  0.7066328E+00 -0.5847591E+00
     14000     12 -0.7068589E+00  0.7064430E+00 -0.3589987E-01
     14000     13 -0.9999988E+00  0.1351299E-02 -0.8149967E-03
     14000     14  0.4123611E+00  0.7069498E+00 -0.5746132E+00
     14000     15  0.2674519E+00  0.7070152E+00 -0.6546747E+00
     14000     16  0.4673293E+00  0.7046073E+00  0.5339774E+00
     14000     17  0.4117980E+00  0.7072636E+00 -0.5746309E+00
     14000     18  0.2665389E+00  0.7071979E+00 -0.6548497E+00
     14000     19 -0.6491356E+00  0.7049038E+00 -0.2858909E+00
     14000     20  0.3974588E+00  0.7075807E+00 -0.5842568E+00
     14000     21 -0.7052991E+00  0.7077624E+00 -0.4031760E-01
     14000     22 -0.9931801E+00  0.2064103E-02 -0.1165723E+00
     14000     23  0.3694423E+00  0.7078711E+00 -0.6020224E+00
     14000     24  0.5766684E+00  0.7052208E+00 -0.4124526E+00
     14000     25  0.4454403E+00 -0.8200816E-02 -0.8952741E+00
     14000     26  0.3268415E+00  0.7080014E+00 -0.6260261E+00
     14000     27  0.7049584E+00  0.7085578E+00 -0.3129760E-01
     14000     28 -0.6246032E+00 -0.5704968E+00 -0.5332956E+00
     14000     29  0.2659107E+00  0.7077491E+00 -0.6545096E+00
     14000     30  0.1291214E+00  0.7204339E+00 -0.6813976E+00
     14000     31 -0.7498728E+00 -0.2971264E+00 -0.5911064E+00

     16000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     16000      1  0.6238725E+00  0.7071067E+00  0.3328412E+00
     16000      2  0.6929763E+00  0.7065639E+00  0.1433571E+00
     16000      3 -0.6403496E+00  0.7074851E+00 -0.2990271E+00
     16000      4  0.9889512E+00  0.1472483E+00 -0.1713271E-01
     16000      5  0.6716533E+00  0.7059845E+00  0.2246503E+00
     16000      6  0.6840307E+00  0.7020474E+00 -0.1980691E+00
     16000      7 -0.5193265E+00  0.1580150E-01  0.8544298E+00
     16000      8  0.6501031E+00  0.7061245E+00  0.2806315E+00
     16000      9  0.7079166E+00  0.7061189E+00 -0.1581784E-01
     16000     10 -0.9983819E+00 -0.1035571E-01  0.5591350E-01
     16000     11  0.6336329E+00  0.7065329E+00  0.3151517E+00
     16000     12 -0.2664314E+00  0.7092629E+00 -0.6526565E+00
     16000     13 -0.8024222E+00 -0.1856152E-02  0.5967539E+00
     16000     14  0.6248982E+00  0.7069269E+00  0.3312955E+00
     16000     15  0.6906996E+00  0.7064340E+00  0.1545476E+00
     16000     16 -0.6346078E+00  0.7004886E+00 -0.3264793E+00
     16000     17  0.6251582E+00  0.7072864E+00  0.3300350E+00
     16000     18  0.6899678E+00  0.7077762E+00  0.1516486E+00
     16000     19 -0.6129464E+00  0.7008819E+00 -0.3647756E+00
     16000     20  0.6343703E+00  0.7076801E+00  0.3110679E+00
     16000     21 -0.2659188E+00  0.7049418E+00 -0.6575289E+00
     16000     22 -0.5503244E+00  0.2224751E-02  0.8349479E+00
     16000     23  0.6508498E+00  0.7080890E+00  0.2738695E+00
     16000     24  0.7058750E+00  0.7080902E+00 -0.1867631E-01
     16000     25  0.2451342E+00  0.1505695E-01  0.9693722E+00
     16000     26  0.6711741E+00  0.7082307E+00  0.2189397E+00
     16000     27  0.6790506E+00  0.7120212E+00 -0.1786506E+00
     16000     28  0.4443171E+00 -0.5704968E+00 -0.6907356E+00
     16000     29  0.6910384E+00  0.7076480E+00  0.1473103E+00
     16000     30 -0.6353788E+00  0.7066817E+00 -0.3112793E+00
     16000     31  0.4847302E+00 -0.2971264E+00 -0.8226497E+00

     18000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     18000      1 -0.2457873E+00  0.7071067E+00  0.6630149E+00
     18000      2 -0.3054177E-01  0.7061651E+00  0.7073882E+00
     18000      3 -0.4632807E+00  0.6962535E+00  0.5482719E+00
     18000      4  0.1501660E+00  0.1472483E+00  0.9776339E+00
     18000      5 -0.1176680E+00  0.7059689E+00  0.6983997E+00
     18000      6  0.6265440E+00  0.7023131E+00 -0.3379333E+00
     18000      7 -0.9165871E+00  0.1580149E-01 -0.3995228E+00
     18000      8 -0.1802075E+00  0.7063266E+00  0.6845641E+00
     18000      9  0.5980722E+00  0.7083799E+00  0.3748433E+00
     18000     10 -0.6456943E+00 -0.1322913E+00 -0.7520491E+00
     18000     11 -0.2218008E+00  0.7067139E+00  0.6718332E+00
     18000     12  0.4800968E+00  0.7069959E+00 -0.5192917E+00
     18000     13 -0.9531792E+00 -0.2902036E-02  0.3023921E+00
     18000     14 -0.2429363E+00  0.7069925E+00  0.6641864E+00
     18000     15 -0.3517279E-01  0.7057609E+00  0.7075764E+00
     18000     16 -0.7056315E+00  0.6914871E+00 -0.1546924E+00
     18000     17 -0.2434382E+00  0.7072208E+00  0.6637594E+00
     18000     18 -0.3456151E-01  0.7084498E+00  0.7049145E+00
     18000     19  0.6159481E+00  0.6918385E+00  0.3767858E+00
     18000     20 -0.2226969E+00  0.7074991E+00  0.6707094E+00
     18000     21  0.4790447E+00  0.7072165E+00 -0.5199625E+00
     18000     22  0.4564383E+00  0.2588883E-02  0.8897513E+00
     18000     23 -0.1791924E+00  0.7078859E+00  0.6832186E+00
     18000     24  0.5959353E+00  0.7058080E+00  0.3830093E+00
     18000     25 -0.8121066E+00  0.4372998E+00 -0.3863312E+00
     18000     26 -0.1113484E+00  0.7082409E+00  0.6971344E+00
     18000     27  0.6198549E+00  0.7118694E+00 -0.3301844E+00
     18000     28  0.7442821E+00 -0.5704968E+00  0.3472427E+00
     18000     29 -0.2129610E-01  0.7080465E+00  0.7058447E+00
     18000     30 -0.4595861E+00  0.7177530E+00  0.5230786E+00
     18000     31  0.8804371E+00 -0.2971264E+00  0.3695218E+00

     20000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     20000      1 -0.6900765E+00  0.7071066E+00 -0.1542550E+00
     20000      2 -0.7017612E+00  0.7063652E+00  0.9262492E-01
     20000      3  0.3974213E+00  0.7109539E+00  0.5801732E+00
     20000      4 -0.9485033E+00  0.1472483E+00  0.2804630E+00
     20000      5 -0.7083617E+00  0.7058480E+00 -0.1530233E-02
     20000      6  0.5369686E+00  0.7093694E+00 -0.4565740E+00
     20000      7  0.2724394E+00  0.1580149E-01 -0.9620432E+00
     20000      8 -0.7039204E+00  0.7062074E+00 -0.7594180E-01
     20000      9  0.2859267E+00  0.7096265E+00  0.6439535E+00
     20000     10  0.6582372E+00 -0.1322913E+00 -0.7410957E+00
     20000     11 -0.6961679E+00  0.7066898E+00 -0.1262528E+00
     20000     12  0.6748811E+00  0.7070990E+00  0.2110603E+00
     20000     13  0.3832528E+00 -0.1884431E-02  0.9236416E+00
     20000     14 -0.6908838E+00  0.7069969E+00 -0.1511126E+00
     20000     15 -0.7026248E+00  0.7065766E+00  0.8407059E-01
     20000     16  0.4258374E+00  0.6732375E+00  0.6044946E+00
     20000     17 -0.6905988E+00  0.7072165E+00 -0.1513874E+00
     20000     18 -0.7014951E+00  0.7076361E+00  0.8459143E-01
     20000     19  0.6716209E+00  0.6737392E+00 -0.3082222E+00
     20000     20 -0.6950095E+00  0.7075236E+00 -0.1279535E+00
     20000     21  0.6735820E+00  0.7071077E+00  0.2151417E+00
     20000     22 -0.9217469E+00 -0.6484996E-03 -0.3877916E+00
     20000     23 -0.7015793E+00  0.7080047E+00 -0.8072071E-01
     20000     24  0.2835777E+00  0.7045680E+00  0.6505133E+00
     20000     25  0.2734391E+00  0.4372998E+00 -0.8567379E+00
     20000     26 -0.7058122E+00  0.7083611E+00 -0.7323494E-02
     20000     27  0.5330303E+00  0.7047981E+00 -0.4681221E+00
     20000     28 -0.2438412E+00 -0.5704968E+00  0.7842671E+00
     20000     29 -0.6998284E+00  0.7078487E+00  0.9586708E-01
     20000     30  0.3916982E+00  0.7032176E+00  0.5933443E+00
     20000     31 -0.2475803E+00 -0.2971264E+00  0.9221821E+00

     22000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     22000      1  0.5991197E-01  0.7071066E+00 -0.7045642E+00
     22000      2 -0.2172740E+00  0.7058998E+00 -0.6741643E+00
     22000      3  0.6745819E+00  0.7001401E+00 -0.2339725E+00
     22000      4 -0.4056498E+00  0.1472483E+00 -0.9020899E+00
     22000      5 -0.1083498E+00  0.7058756E+00 -0.7000000E+00
     22000      6  0.4216104E+00  0.7090527E+00 -0.5652335E+00
     22000      7  0.9899699E+00  0.1580149E-01  0.1403919E+00
     22000      8 -0.2308137E-01  0.7065100E+00 -0.7073265E+00
     22000      9 -0.1243002E+00  0.7038189E+00  0.6994200E+00
     22000     10  0.8229936E+00 -0.1322913E+00  0.5524315E+00
     22000     11  0.3153677E-01  0.7069155E+00 -0.7065946E+00
     22000     12  0.9361132E-01  0.7095220E+00  0.6984378E+00
     22000     13 -0.1536930E+00 -0.4698240E-02  0.9881075E+00
     22000     14  0.5729575E-01  0.7070691E+00 -0.7048195E+00
     22000     15 -0.2011205E+00  0.7056345E+00 -0.6794339E+00
     22000     16 -0.6582696E+00  0.6384902E+00 -0.3987624E+00
     22000     17  0.5578296E-01  0.7071442E+00 -0.7048654E+00
     22000     18 -0.2010921E+00  0.7085754E+00 -0.6763748E+00
     22000     19  0.7465926E+00  0.6391402E+00 -0.1846598E+00
     22000     20  0.2748208E-01  0.7072978E+00 -0.7063813E+00
     22000     21  0.9361256E-01  0.7046828E+00  0.7033198E+00
     22000     22  0.9516252E+00 -0.3955131E-02 -0.3072359E+00
     22000     23 -0.2629497E-01  0.7077033E+00 -0.7060203E+00
     22000     24 -0.1250627E+00  0.7103725E+00  0.6926256E+00
     22000     25  0.8857587E+00  0.4372998E+00  0.1555648E+00
     22000     26 -0.1031205E+00  0.7083399E+00 -0.6982984E+00
     22000     27  0.4220021E+00  0.7051466E+00 -0.5698092E+00
     22000     28 -0.8099619E+00 -0.5704968E+00 -0.1359967E+00
     22000     29 -0.2060356E+00  0.7083116E+00 -0.6751622E+00
     22000     30  0.6671389E+00  0.7139171E+00 -0.2127157E+00
     22000     31 -0.9471241E+00 -0.2971264E+00 -0.1211277E+00

     24000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
     24000      1  0.7062141E+00  0.7071066E+00 -0.3552271E-01
     24000      2  0.6285722E+00  0.7061524E+00 -0.3259537E+00
     24000      3 -0.3649181E-01  0.7133233E+00 -0.6998844E+00
     24000      4  0.8392396E+00  0.1472483E+00 -0.5234452E+00
     24000      5  0.6766125E+00  0.7058782E+00 -0.2095985E+00
     24000      6  0.2890512E+00  0.6989133E+00 -0.6541938E+00
     24000      7 -0.5786376E-02  0.1580149E-01  0.9998584E+00
     24000      8  0.6968138E+00  0.7064635E+00 -0.1239351E+00
     24000      9 -0.4934640E+00  0.7007209E+00  0.5152509E+00
     24000     10 -0.4365599E+00 -0.1322913E+00  0.8898957E+00
     24000     11  0.7040465E+00  0.7069213E+00 -0.6768090E-01
     24000     12 -0.5954160E+00  0.7068632E+00  0.3818693E+00
     24000     13 -0.2996246E+00 -0.6080954E-02  0.9540378E+00
