# number of rays:   32
# TURN PID S_X S_Y S_Z
              0 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
              0 1   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 2   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 3   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 4   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 5   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 6   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 7   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 8   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 9   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 10   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 11   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 12   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 13   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 14   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 15   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 16   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 17   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 18   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 19   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 20   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 21   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 22   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 23   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 24   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 25   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 26   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 27   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 28   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 29   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 30   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 31   0.0000000E+00  0.7071068E+00  0.7071068E+00
            100 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            100 1  -0.6261021E+00  0.7071068E+00  0.3286277E+00
            100 2  -0.6282288E+00  0.7071527E+00  0.3244437E+00
            100 3  -0.5765960E+00  0.7104766E+00  0.4034352E+00
            100 4   0.8504769E-02  0.7070969E+00  0.7070655E+00
            100 5  -0.6277214E+00  0.7071416E+00  0.3254483E+00
            100 6  -0.5982243E+00  0.7092907E+00  0.3728731E+00
            100 7  -0.1628133E+00  0.7071093E+00  0.6881049E+00
            100 8  -0.6272340E+00  0.7071311E+00  0.3264094E+00
            100 9  -0.6130022E+00  0.7084234E+00  0.3498065E+00
            100 10  -0.3244415E+00  0.7071149E+00  0.6282724E+00
            100 11  -0.6267665E+00  0.7071211E+00  0.3273280E+00
            100 12  -0.6219838E+00  0.7077982E+00  0.3348997E+00
            100 13  -0.4667863E+00  0.7071134E+00  0.5311321E+00
            100 14  -0.6263186E+00  0.7071115E+00  0.3282048E+00
            100 15  -0.6259045E+00  0.7073216E+00  0.3285419E+00
            100 16  -0.5813983E+00  0.7071081E+00  0.4024601E+00
            100 17  -0.6258904E+00  0.7071022E+00  0.3290405E+00
            100 18  -0.6251516E+00  0.7068899E+00  0.3308960E+00
            100 19  -0.6614733E+00  0.7071082E+00  0.2499021E+00
            100 20  -0.6254818E+00  0.7070932E+00  0.3298360E+00
            100 21  -0.6197520E+00  0.7063956E+00  0.3419250E+00
            100 22  -0.7022566E+00  0.7071253E+00  0.8251977E-01
            100 23  -0.6250925E+00  0.7070843E+00  0.3305921E+00
            100 24  -0.6093740E+00  0.7057325E+00  0.3613931E+00
            100 25  -0.7013267E+00  0.7071679E+00 -0.8974573E-01
            100 26  -0.6247225E+00  0.7070756E+00  0.3313094E+00
            100 27  -0.5933434E+00  0.7048011E+00  0.3888433E+00
            100 28  -0.6587410E+00  0.7072371E+00 -0.2566632E+00
            100 29  -0.6243717E+00  0.7070668E+00  0.3319887E+00
            100 30  -0.5706753E+00  0.7035157E+00  0.4235509E+00
            100 31  -0.5770328E+00  0.7073255E+00 -0.4083183E+00
            200 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            200 1  -0.5746323E+00  0.7071068E+00 -0.4120652E+00
            200 2  -0.5778307E+00  0.7063556E+00 -0.4088686E+00
            200 3  -0.6703743E+00  0.6994189E+00 -0.2478135E+00
            200 4   0.4336038E-02  0.7071422E+00  0.7070580E+00
            200 5  -0.5772109E+00  0.7065219E+00 -0.4094561E+00
            200 6  -0.6391065E+00  0.7002699E+00 -0.3180645E+00
            200 7  -0.3281515E+00  0.7071233E+00  0.6263331E+00
            200 8  -0.5765399E+00  0.7066886E+00 -0.4101133E+00
            200 9  -0.6102582E+00  0.7018017E+00 -0.3675041E+00
            200 10  -0.5838066E+00  0.7071018E+00  0.3989698E+00
            200 11  -0.5758167E+00  0.7068557E+00 -0.4108409E+00
            200 12  -0.5884150E+00  0.7037686E+00 -0.3980924E+00
            200 13  -0.7027907E+00  0.7070853E+00  0.7820255E-01
            200 14  -0.5750405E+00  0.7070230E+00 -0.4116393E+00
            200 15  -0.5764409E+00  0.7059707E+00 -0.4114866E+00
            200 16  -0.6572556E+00  0.7070882E+00 -0.2608473E+00
            200 17  -0.5742105E+00  0.7071906E+00 -0.4125090E+00
            200 18  -0.5756890E+00  0.7082397E+00 -0.4086302E+00
            200 19  -0.4578809E+00  0.7071383E+00 -0.5387954E+00
            200 20  -0.5733257E+00  0.7073586E+00 -0.4134508E+00
            200 21  -0.5861320E+00  0.7104157E+00 -0.3895624E+00
            200 22  -0.1513607E+00  0.7072232E+00 -0.6905978E+00
            200 23  -0.5723851E+00  0.7075268E+00 -0.4144649E+00
            200 24  -0.6063732E+00  0.7123232E+00 -0.3534222E+00
            200 25   0.1905490E+00  0.7073013E+00 -0.6807466E+00
            200 26  -0.5713877E+00  0.7076953E+00 -0.4155519E+00
            200 27  -0.6335392E+00  0.7137488E+00 -0.2986480E+00
            200 28   0.4878238E+00  0.7073591E+00 -0.5115378E+00
            200 29  -0.5703326E+00  0.7078641E+00 -0.4167123E+00
            200 30  -0.6630923E+00  0.7144270E+00 -0.2233893E+00
            200 31   0.6708765E+00  0.7073905E+00 -0.2225384E+00
            300 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            300 1   0.1229616E+00  0.7071068E+00 -0.6963336E+00
            300 2   0.1282703E+00  0.7071415E+00 -0.6953400E+00
            300 3  -0.1752079E+00  0.6986061E+00 -0.6937230E+00
            300 4  -0.1251284E-01  0.7071811E+00  0.7069217E+00
            300 5   0.1268411E+00  0.7071332E+00 -0.6956105E+00
            300 6  -0.5786417E-01  0.7007442E+00 -0.7110621E+00
            300 7  -0.4824390E+00  0.7071416E+00  0.5169171E+00
            300 8   0.1255572E+00  0.7071252E+00 -0.6958515E+00
            300 9   0.3119227E-01  0.7027390E+00 -0.7107637E+00
            300 10  -0.7044765E+00  0.7070733E+00  0.6132014E-01
            300 11   0.1244153E+00  0.7071175E+00 -0.6960644E+00
            300 12   0.9021709E-01  0.7045657E+00 -0.7038807E+00
            300 13  -0.5646091E+00  0.7070409E+00 -0.4258049E+00
            300 14   0.1234122E+00  0.7071103E+00 -0.6962503E+00
            300 15   0.1193889E+00  0.7062739E+00 -0.6977990E+00
            300 16  -0.1347361E+00  0.7070662E+00 -0.6941927E+00
            300 17   0.1225444E+00  0.7071034E+00 -0.6964105E+00
            300 18   0.1192489E+00  0.7079386E+00 -0.6961340E+00
            300 19   0.3643176E+00  0.7071496E+00 -0.6059803E+00
            300 20   0.1218086E+00  0.7070971E+00 -0.6965460E+00
            300 21   0.8992151E-01  0.7096361E+00 -0.6988066E+00
            300 22   0.6761832E+00  0.7072016E+00 -0.2064997E+00
            300 23   0.1212014E+00  0.7070914E+00 -0.6966577E+00
            300 24   0.3110877E-01  0.7114279E+00 -0.7020702E+00
            300 25   0.6406596E+00  0.7071964E+00  0.2990461E+00
            300 26   0.1207195E+00  0.7070863E+00 -0.6967465E+00
            300 27  -0.5714874E-01  0.7133366E+00 -0.6984876E+00
            300 28   0.2760329E+00  0.7070998E+00  0.6510113E+00
            300 29   0.1203595E+00  0.7070820E+00 -0.6968132E+00
            300 30  -0.1729520E+00  0.7152984E+00 -0.6770789E+00
            300 31  -0.2303927E+00  0.7070251E+00  0.6686065E+00
            400 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            400 1   0.6843255E+00  0.7071068E+00 -0.1780410E+00
            400 2   0.6860232E+00  0.7066212E+00 -0.1733741E+00
            400 3   0.4859453E+00  0.7040899E+00 -0.5177977E+00
            400 4  -0.4213784E-01  0.7071347E+00  0.7058222E+00
            400 5   0.6855792E+00  0.7067264E+00 -0.1746969E+00
            400 6   0.5882150E+00  0.7046305E+00 -0.3968613E+00
            400 7  -0.6087931E+00  0.7071297E+00  0.3596366E+00
            400 8   0.6851712E+00  0.7068334E+00 -0.1758604E+00
            400 9   0.6455743E+00  0.7051345E+00 -0.2932901E+00
            400 10  -0.6387066E+00  0.7070207E+00 -0.3036043E+00
            400 11   0.6848019E+00  0.7069420E+00 -0.1768598E+00
            400 12   0.6734126E+00  0.7058027E+00 -0.2199045E+00
            400 13  -0.1055275E+00  0.7070013E+00 -0.6992947E+00
            400 14   0.6844736E+00  0.7070516E+00 -0.1776904E+00
            400 15   0.6836163E+00  0.7066482E+00 -0.1825299E+00
            400 16   0.5206600E+00  0.7070648E+00 -0.4785107E+00
            400 17   0.6841885E+00  0.7071620E+00 -0.1783477E+00
            400 18   0.6825183E+00  0.7075648E+00 -0.1830867E+00
            400 19   0.6877810E+00  0.7071295E+00  0.1640886E+00
            400 20   0.6839489E+00  0.7072728E+00 -0.1788270E+00
            400 21   0.6702141E+00  0.7084033E+00 -0.2213093E+00
            400 22   0.2485271E+00  0.7071206E+00  0.6619779E+00
            400 23   0.6837568E+00  0.7073835E+00 -0.1791235E+00
            400 24   0.6405987E+00  0.7090437E+00 -0.2947717E+00
            400 25  -0.4098249E+00  0.7070678E+00  0.5762800E+00
            400 26   0.6836141E+00  0.7074938E+00 -0.1792324E+00
            400 27   0.5821135E+00  0.7094694E+00 -0.3972369E+00
            400 28  -0.7068325E+00  0.7071668E+00 -0.1740219E-01
            400 29   0.6835226E+00  0.7076034E+00 -0.1791489E+00
            400 30   0.4798140E+00  0.7098325E+00 -0.5156708E+00
            400 31  -0.3807192E+00  0.7073445E+00 -0.5955809E+00
            500 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            500 1   0.4367846E+00  0.7071068E+00  0.5560748E+00
            500 2   0.4367791E+00  0.7072662E+00  0.5558763E+00
            500 3   0.6988275E+00  0.6999637E+00  0.1472786E+00
            500 4  -0.8417939E-01  0.7071081E+00  0.7020769E+00
            500 5   0.4370711E+00  0.7072286E+00  0.5556947E+00
            500 6   0.6322117E+00  0.6997568E+00  0.3326391E+00
            500 7  -0.6886117E+00  0.7070818E+00  0.1607771E+00
            500 8   0.4372006E+00  0.7071926E+00  0.5556386E+00
            500 9   0.5495979E+00  0.7008910E+00  0.4546360E+00
            500 10  -0.3867015E+00  0.7069552E+00 -0.5921793E+00
            500 11   0.4371632E+00  0.7071578E+00  0.5557123E+00
            500 12   0.4806827E+00  0.7030131E+00  0.5241343E+00
            500 13   0.4240913E+00  0.7069955E+00 -0.5659540E+00
            500 14   0.4369546E+00  0.7071237E+00  0.5559197E+00
            500 15   0.4421522E+00  0.7056863E+00  0.5536319E+00
            500 16   0.6767761E+00  0.7070880E+00  0.2049408E+00
            500 17   0.4365700E+00  0.7070898E+00  0.5562649E+00
            500 18   0.4410761E+00  0.7085241E+00  0.5508589E+00
            500 19   0.3881372E-01  0.7071078E+00  0.7060397E+00
            500 20   0.4360048E+00  0.7070556E+00  0.5567515E+00
            500 21   0.4773439E+00  0.7111697E+00  0.5161206E+00
            500 22  -0.6501792E+00  0.7071100E+00  0.2779612E+00
            500 23   0.4352539E+00  0.7070205E+00  0.5573832E+00
            500 24   0.5437327E+00  0.7132244E+00  0.4423411E+00
            500 25  -0.4834669E+00  0.7072487E+00 -0.5158091E+00
            500 26   0.4343123E+00  0.7069842E+00  0.5581632E+00
            500 27   0.6236185E+00  0.7142269E+00  0.3177734E+00
            500 28   0.3194327E+00  0.7073643E+00 -0.6305542E+00
            500 29   0.4331748E+00  0.7069461E+00  0.5590946E+00
            500 30   0.6877499E+00  0.7137835E+00  0.1323375E+00
            500 31   0.7017885E+00  0.7073197E+00  0.8480402E-01
            600 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            600 1  -0.3462368E+00  0.7071068E+00  0.6165388E+00
            600 2  -0.3459108E+00  0.7070046E+00  0.6168389E+00
            600 3   0.2366916E+00  0.6919661E+00  0.6820263E+00
            600 4  -0.1384769E+00  0.7071738E+00  0.6933465E+00
            600 5  -0.3455926E+00  0.7070286E+00  0.6169896E+00
            600 6   0.2508624E-02  0.6946184E+00  0.7193740E+00
            600 7  -0.7041466E+00  0.7070319E+00 -0.6544808E-01
            600 8  -0.3454936E+00  0.7070516E+00  0.6170188E+00
            600 9  -0.1743287E+00  0.6982879E+00  0.6942648E+00
            600 10  -0.8513744E-02  0.7068935E+00 -0.7072688E+00
            600 11  -0.3456185E+00  0.7070739E+00  0.6169232E+00
            600 12  -0.2865520E+00  0.7020078E+00  0.6519762E+00
            600 13   0.7023708E+00  0.7070208E+00 -0.8244287E-01
            600 14  -0.3459724E+00  0.7070959E+00  0.6166997E+00
            600 15  -0.3397438E+00  0.7054562E+00  0.6220174E+00
            600 16   0.1552933E+00  0.7071124E+00  0.6898377E+00
            600 17  -0.3465601E+00  0.7071177E+00  0.6163446E+00
            600 18  -0.3397968E+00  0.7087522E+00  0.6182301E+00
            600 19  -0.6698538E+00  0.7071102E+00  0.2264755E+00
            600 20  -0.3473864E+00  0.7071398E+00  0.6158538E+00
            600 21  -0.2869734E+00  0.7121555E+00  0.6406877E+00
            600 22  -0.2951614E+00  0.7072181E+00 -0.6424347E+00
            600 23  -0.3484557E+00  0.7071626E+00  0.6152233E+00
            600 24  -0.1759084E+00  0.7157652E+00  0.6758228E+00
            600 25   0.6081236E+00  0.7072782E+00 -0.3604764E+00
            600 26  -0.3497723E+00  0.7071864E+00  0.6144484E+00
            600 27  -0.1491655E-02  0.7192242E+00  0.6947764E+00
            600 28   0.4220129E+00  0.7071299E+00  0.5673381E+00
            600 29  -0.3513402E+00  0.7072115E+00  0.6135242E+00
            600 30   0.2288327E+00  0.7215238E+00  0.6534822E+00
            600 31  -0.5201040E+00  0.7070924E+00  0.4790743E+00
            700 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            700 1  -0.7005369E+00  0.7071068E+00 -0.9616719E-01
            700 2  -0.7005383E+00  0.7067722E+00 -0.9858596E-01
            700 3  -0.4663406E+00  0.6942098E+00  0.5482693E+00
            700 4  -0.2041406E+00  0.7071678E+00  0.6769345E+00
            700 5  -0.7006053E+00  0.7068504E+00 -0.9754339E-01
            700 6  -0.6348323E+00  0.6999318E+00  0.3272359E+00
            700 7  -0.6420217E+00  0.7069883E+00 -0.2966070E+00
            700 8  -0.7006350E+00  0.7069256E+00 -0.9678158E-01
            700 9  -0.6987403E+00  0.7039700E+00  0.1272330E+00
            700 10   0.3830907E+00  0.7068878E+00 -0.5946017E+00
            700 11  -0.7006262E+00  0.7069988E+00 -0.9630995E-01
            700 12  -0.7079828E+00  0.7060942E+00 -0.1383128E-01
            700 13   0.5353281E+00  0.7070648E+00  0.4620425E+00
            700 14  -0.7005771E+00  0.7070709E+00 -0.9613792E-01
            700 15  -0.7020498E+00  0.7069182E+00 -0.8598074E-01
            700 16  -0.5321340E+00  0.7071129E+00  0.4656444E+00
            700 17  -0.7004857E+00  0.7071428E+00 -0.9627488E-01
            700 18  -0.7012659E+00  0.7072913E+00 -0.8924769E-01
            700 19  -0.3869629E+00  0.7071331E+00 -0.5917960E+00
            700 20  -0.7003496E+00  0.7072155E+00 -0.9673018E-01
            700 21  -0.7057336E+00  0.7080765E+00 -0.2382877E-01
            700 22   0.6399134E+00  0.7072163E+00 -0.3005926E+00
            700 23  -0.7001657E+00  0.7072900E+00 -0.9751309E-01
            700 24  -0.6954669E+00  0.7100892E+00  0.1099962E+00
            700 25   0.2084939E+00  0.7071213E+00  0.6756551E+00
            700 26  -0.6999306E+00  0.7073674E+00 -0.9863276E-01
            700 27  -0.6316690E+00  0.7138815E+00  0.3022704E+00
            700 28  -0.6980726E+00  0.7071385E+00  0.1124710E+00
            700 29  -0.6996404E+00  0.7074487E+00 -0.1000983E+00
            700 30  -0.4654792E+00  0.7191502E+00  0.5158994E+00
            700 31  -0.1393393E-01  0.7074505E+00 -0.7066255E+00
            800 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            800 1  -0.1548843E+00  0.7071068E+00 -0.6899354E+00
            800 2  -0.1460419E+00  0.7071006E+00 -0.6918674E+00
            800 3  -0.6934955E+00  0.7063036E+00 -0.1421236E+00
            800 4  -0.2796057E+00  0.7071167E+00  0.6494664E+00
            800 5  -0.1486037E+00  0.7071054E+00 -0.6913168E+00
            800 6  -0.5582836E+00  0.7105359E+00 -0.4283201E+00
            800 7  -0.4973988E+00  0.7069027E+00 -0.5028747E+00
            800 8  -0.1508287E+00  0.7071075E+00 -0.6908326E+00
            800 9  -0.3827524E+00  0.7113131E+00 -0.5895204E+00
            800 10   0.6525316E+00  0.7069371E+00 -0.2728415E+00
            800 11  -0.1527116E+00  0.7071079E+00 -0.6904184E+00
            800 12  -0.2407343E+00  0.7101232E+00 -0.6616435E+00
            800 13   0.8354834E-02  0.7071088E+00  0.7070554E+00
            800 14  -0.1542477E+00  0.7071072E+00 -0.6900775E+00
            800 15  -0.1646893E+00  0.7081689E+00 -0.6865670E+00
            800 16  -0.6586324E+00  0.7070883E+00 -0.2573510E+00
            800 17  -0.1554324E+00  0.7071064E+00 -0.6898126E+00
            800 18  -0.1642872E+00  0.7060427E+00 -0.6888494E+00
            800 19   0.4854214E+00  0.7071430E+00 -0.5141157E+00
            800 20  -0.1562611E+00  0.7071060E+00 -0.6896256E+00
            800 21  -0.2392945E+00  0.7040660E+00 -0.6686025E+00
            800 22   0.2946221E+00  0.7071112E+00  0.6427998E+00
            800 23  -0.1567289E+00  0.7071071E+00 -0.6895184E+00
            800 24  -0.3796976E+00  0.7027937E+00 -0.6015902E+00
            800 25  -0.7063281E+00  0.7071460E+00  0.3232932E-01
            800 26  -0.1568305E+00  0.7071104E+00 -0.6894919E+00
            800 27  -0.5531598E+00  0.7033507E+00 -0.4464437E+00
            800 28   0.2348843E+00  0.7073617E+00 -0.6666849E+00
            800 29  -0.1565603E+00  0.7071168E+00 -0.6895468E+00
            800 30  -0.6869473E+00  0.7071127E+00 -0.1676158E+00
            800 31   0.5299882E+00  0.7071817E+00  0.4679814E+00
            900 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            900 1   0.5990737E+00  0.7071068E+00 -0.3756470E+00
            900 2   0.6012290E+00  0.7070448E+00 -0.3723055E+00
            900 3  -0.1831480E+00  0.7133262E+00 -0.6764780E+00
            900 4  -0.3624132E+00  0.7071819E+00  0.6070836E+00
            900 5   0.6003382E+00  0.7070613E+00 -0.3737088E+00
            900 6   0.1699158E+00  0.7126079E+00 -0.6806752E+00
            900 7  -0.2780328E+00  0.7068590E+00 -0.6504215E+00
            900 8   0.5996881E+00  0.7070757E+00 -0.3747242E+00
            900 9   0.4111371E+00  0.7102595E+00 -0.5713998E+00
            900 10   0.6894935E+00  0.7069900E+00  0.1573651E+00
            900 11   0.5992724E+00  0.7070885E+00 -0.3753643E+00
            900 12   0.5412178E+00  0.7083657E+00 -0.4531018E+00
            900 13  -0.5327021E+00  0.7071194E+00  0.4649846E+00
            900 14   0.5990846E+00  0.7071007E+00 -0.3756411E+00
            900 15   0.5934721E+00  0.7073930E+00 -0.3839090E+00
            900 16  -0.6284587E-01  0.7070651E+00 -0.7043503E+00
            900 17   0.5991170E+00  0.7071129E+00 -0.3755664E+00
            900 18   0.5927445E+00  0.7068186E+00 -0.3860848E+00
            900 19   0.6065858E+00  0.7071228E+00  0.3633608E+00
            900 20   0.5993617E+00  0.7071259E+00 -0.3751514E+00
            900 21   0.5393129E+00  0.7058253E+00 -0.4592954E+00
            900 22  -0.6505990E+00  0.7071103E+00  0.2769765E+00
            900 23   0.5998099E+00  0.7071404E+00 -0.3744069E+00
            900 24   0.4090027E+00  0.7038620E+00 -0.5807711E+00
            900 25   0.1586124E+00  0.7073315E+00 -0.6888572E+00
            900 26   0.6004525E+00  0.7071573E+00 -0.3733436E+00
            900 27   0.1693102E+00  0.7013284E+00 -0.6924396E+00
            900 28   0.4638474E+00  0.7071655E+00  0.5336314E+00
            900 29   0.6012798E+00  0.7071772E+00 -0.3719717E+00
            900 30  -0.1801323E+00  0.7001866E+00 -0.6908626E+00
            900 31  -0.7043621E+00  0.7071700E+00  0.6151880E-01
           1000 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
           1000 1   0.5455777E+00  0.7071068E+00  0.4498278E+00
           1000 2   0.5435143E+00  0.7071620E+00  0.4522325E+00
           1000 3   0.5341817E+00  0.7065124E+00 -0.4642092E+00
           1000 4  -0.4488237E+00  0.7071348E+00  0.5463677E+00
           1000 5   0.5444457E+00  0.7071431E+00  0.4511402E+00
           1000 6   0.7015477E+00  0.7040039E+00 -0.1104954E+00
           1000 7  -0.7064611E-02  0.7068683E+00 -0.7073099E+00
           1000 8   0.5451120E+00  0.7071292E+00  0.4503567E+00
           1000 9   0.6875045E+00  0.7027565E+00  0.1829503E+00
           1000 10   0.4598857E+00  0.7070660E+00  0.5371804E+00
           1000 11   0.5455073E+00  0.7071188E+00  0.4498942E+00
           1000 12   0.6109247E+00  0.7035791E+00  0.3629702E+00
           1000 13  -0.6974988E+00  0.7070697E+00 -0.1163952E+00
           1000 14   0.5456251E+00  0.7071105E+00  0.4497644E+00
           1000 15   0.5539052E+00  0.7057847E+00  0.4416527E+00
           1000 16   0.6092366E+00  0.7070699E+00 -0.3590027E+00
           1000 17   0.5454581E+00  0.7071030E+00  0.4499786E+00
           1000 18   0.5527616E+00  0.7084255E+00  0.4388484E+00
           1000 19  -0.2362625E+00  0.7071051E+00  0.6664701E+00
           1000 20   0.5449987E+00  0.7070948E+00  0.4505478E+00
           1000 21   0.6073661E+00  0.7106000E+00  0.3551818E+00
           1000 22  -0.2470835E+00  0.7071997E+00 -0.6624336E+00
           1000 23   0.5442381E+00  0.7070846E+00  0.4514822E+00
           1000 24   0.6814442E+00  0.7113370E+00  0.1721437E+00
           1000 25   0.6148324E+00  0.7071793E+00  0.3491111E+00
           1000 26   0.5431672E+00  0.7070709E+00  0.4527914E+00
           1000 27   0.6938270E+00  0.7098962E+00 -0.1210434E+00
           1000 28  -0.6954536E+00  0.7071365E+00  0.1276803E+00
           1000 29   0.5417758E+00  0.7070526E+00  0.4544840E+00
           1000 30   0.5276654E+00  0.7069769E+00 -0.4709064E+00
           1000 31   0.4509872E+00  0.7074539E+00 -0.5441686E+00
           1100 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
           1100 1  -0.2664055E+00  0.7071068E+00  0.6550024E+00
           1100 2  -0.2699007E+00  0.7066931E+00  0.6540172E+00
           1100 3   0.6562502E+00  0.7007926E+00  0.2796880E+00
           1100 4  -0.5336549E+00  0.7071310E+00  0.4638731E+00
           1100 5  -0.2682595E+00  0.7067858E+00  0.6545920E+00
           1100 6   0.3753414E+00  0.7008271E+00  0.6065972E+00
           1100 7   0.2766604E+00  0.7068039E+00 -0.6510662E+00
           1100 8  -0.2671220E+00  0.7068780E+00  0.6549575E+00
           1100 9   0.6752526E-01  0.7018281E+00  0.7091387E+00
           1100 10   0.3639700E-01  0.7071439E+00  0.7061323E+00
           1100 11  -0.2664768E+00  0.7069697E+00  0.6551214E+00
           1100 12  -0.1493037E+00  0.7037890E+00  0.6945426E+00
           1100 13  -0.3419235E+00  0.7070017E+00 -0.6190613E+00
           1100 14  -0.2663118E+00  0.7070611E+00  0.6550898E+00
           1100 15  -0.2536425E+00  0.7060038E+00  0.6612292E+00
           1100 16   0.5784290E+00  0.7070934E+00  0.4067418E+00
           1100 17  -0.2666147E+00  0.7071525E+00  0.6548679E+00
           1100 18  -0.2539613E+00  0.7082074E+00  0.6587457E+00
           1100 19  -0.6981002E+00  0.7071184E+00 -0.1124264E+00
           1100 20  -0.2673731E+00  0.7072439E+00  0.6544598E+00
           1100 21  -0.1507237E+00  0.7103969E+00  0.6874726E+00
           1100 22   0.6768022E+00  0.7072006E+00 -0.2044655E+00
           1100 23  -0.2685737E+00  0.7073358E+00  0.6538687E+00
           1100 24   0.6368677E-01  0.7122722E+00  0.6990081E+00
           1100 25  -0.5190032E+00  0.7070920E+00  0.4802672E+00
           1100 26  -0.2702031E+00  0.7074283E+00  0.6530968E+00
           1100 27   0.3675016E+00  0.7130564E+00  0.5970705E+00
           1100 28   0.2563591E+00  0.7074097E+00 -0.6586741E+00
           1100 29  -0.2722474E+00  0.7075215E+00  0.6521462E+00
           1100 30   0.6444587E+00  0.7126122E+00  0.2772305E+00
           1100 31   0.5778501E-01  0.7070430E+00  0.7048057E+00
           1200 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
           1200 1  -0.7034967E+00  0.7071068E+00 -0.7136150E-01
           1200 2  -0.7019688E+00  0.7074578E+00 -0.8211751E-01
           1200 3   0.1845178E-01  0.7095244E+00  0.7044392E+00
           1200 4  -0.6100868E+00  0.7071257E+00  0.3574456E+00
           1200 5  -0.7024303E+00  0.7073791E+00 -0.7878069E-01
           1200 6  -0.4262600E+00  0.7073092E+00  0.5639291E+00
           1200 7   0.5227924E+00  0.7068307E+00 -0.4765275E+00
           1200 8  -0.7028171E+00  0.7073009E+00 -0.7598408E-01
           1200 9  -0.6460305E+00  0.7062119E+00  0.2896710E+00
           1200 10  -0.4125433E+00  0.7071263E+00  0.5742652E+00
           1200 11  -0.7031356E+00  0.7072230E+00 -0.7372892E-01
           1200 12  -0.7051916E+00  0.7063274E+00  0.6169572E-01
           1200 13   0.2846224E+00  0.7069919E+00 -0.6474199E+00
           1200 14  -0.7033911E+00  0.7071455E+00 -0.7201535E-01
           1200 15  -0.7051152E+00  0.7068319E+00 -0.5657889E-01
           1200 16  -0.1442487E+00  0.7071080E+00  0.6922360E+00
           1200 17  -0.7035879E+00  0.7070681E+00 -0.7084281E-01
           1200 18  -0.7045547E+00  0.7073814E+00 -0.5669512E-01
           1200 19  -0.2305151E-02  0.7071411E+00 -0.7070687E+00
           1200 20  -0.7037289E+00  0.7069909E+00 -0.7021041E-01
           1200 21  -0.7036713E+00  0.7078748E+00  0.6131913E-01
           1200 22   0.1486965E+00  0.7071181E+00  0.6912838E+00
