# number of rays:   32
# TURN PID S_X S_Y S_Z
              0 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
              0 1   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 2   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 3   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 4   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 5   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 6   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 7   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 8   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 9   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 10   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 11   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 12   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 13   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 14   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 15   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 16   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 17   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 18   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 19   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 20   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 21   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 22   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 23   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 24   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 25   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 26   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 27   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 28   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 29   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 30   0.0000000E+00  0.7071068E+00  0.7071068E+00
              0 31   0.0000000E+00  0.7071068E+00  0.7071068E+00
            100 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            100 1  -0.6261021E+00  0.7071068E+00  0.3286277E+00
            100 2  -0.6274772E+00  0.7071501E+00  0.3259004E+00
            100 3  -0.5745587E+00  0.7104993E+00  0.4062918E+00
            100 4   0.8556692E-02  0.7071389E+00  0.7070229E+00
            100 5  -0.6272633E+00  0.7071400E+00  0.3263339E+00
            100 6  -0.5971042E+00  0.7093030E+00  0.3746409E+00
            100 7  -0.1627785E+00  0.7071437E+00  0.6880778E+00
            100 8  -0.6269985E+00  0.7071302E+00  0.3268635E+00
            100 9  -0.6124740E+00  0.7084283E+00  0.3507206E+00
            100 10  -0.3244236E+00  0.7071346E+00  0.6282595E+00
            100 11  -0.6266810E+00  0.7071207E+00  0.3274923E+00
            100 12  -0.6218040E+00  0.7077993E+00  0.3352310E+00
            100 13  -0.4667804E+00  0.7071200E+00  0.5311283E+00
            100 14  -0.6263091E+00  0.7071114E+00  0.3282231E+00
            100 15  -0.6258851E+00  0.7073216E+00  0.3285788E+00
            100 16  -0.5813978E+00  0.7071087E+00  0.4024598E+00
            100 17  -0.6258808E+00  0.7071021E+00  0.3290590E+00
            100 18  -0.6251322E+00  0.7068898E+00  0.3309328E+00
            100 19  -0.6614729E+00  0.7071086E+00  0.2499020E+00
            100 20  -0.6253944E+00  0.7070928E+00  0.3300025E+00
            100 21  -0.6195722E+00  0.7063943E+00  0.3422535E+00
            100 22  -0.7022555E+00  0.7071263E+00  0.8252048E-01
            100 23  -0.6248479E+00  0.7070833E+00  0.3310565E+00
            100 24  -0.6088457E+00  0.7057265E+00  0.3622941E+00
            100 25  -0.7013292E+00  0.7071663E+00 -0.8973981E-01
            100 26  -0.6242395E+00  0.7070735E+00  0.3322231E+00
            100 27  -0.5922234E+00  0.7047858E+00  0.3905745E+00
            100 28  -0.6587550E+00  0.7072305E+00 -0.2566456E+00
            100 29  -0.6235673E+00  0.7070633E+00  0.3335046E+00
            100 30  -0.5686394E+00  0.7034865E+00  0.4263285E+00
            100 31  -0.5770671E+00  0.7073180E+00 -0.4082828E+00
            200 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            200 1  -0.5746323E+00  0.7071068E+00 -0.4120652E+00
            200 2  -0.5798110E+00  0.7063604E+00 -0.4060471E+00
            200 3  -0.6726751E+00  0.6994812E+00 -0.2413176E+00
            200 4   0.4423695E-02  0.7071699E+00  0.7070298E+00
            200 5  -0.5784094E+00  0.7065237E+00 -0.4077582E+00
            200 6  -0.6409151E+00  0.7002909E+00 -0.3143571E+00
            200 7  -0.3281170E+00  0.7071659E+00  0.6263031E+00
            200 8  -0.5771512E+00  0.7066890E+00 -0.4092518E+00
            200 9  -0.6113288E+00  0.7018070E+00 -0.3657103E+00
            200 10  -0.5838000E+00  0.7071251E+00  0.3989381E+00
            200 11  -0.5760366E+00  0.7068556E+00 -0.4105325E+00
            200 12  -0.5888336E+00  0.7037694E+00 -0.3974716E+00
            200 13  -0.7027897E+00  0.7070881E+00  0.7818640E-01
            200 14  -0.5750649E+00  0.7070230E+00 -0.4116052E+00
            200 15  -0.5764892E+00  0.7059708E+00 -0.4114189E+00
            200 16  -0.6572553E+00  0.7070879E+00 -0.2608490E+00
            200 17  -0.5742349E+00  0.7071906E+00 -0.4124752E+00
            200 18  -0.5757372E+00  0.7082397E+00 -0.4085624E+00
            200 19  -0.4578803E+00  0.7071382E+00 -0.5387961E+00
            200 20  -0.5735447E+00  0.7073580E+00 -0.4131479E+00
            200 21  -0.5865489E+00  0.7104146E+00 -0.3889363E+00
            200 22  -0.1513550E+00  0.7072289E+00 -0.6905932E+00
            200 23  -0.5729923E+00  0.7075247E+00 -0.4136286E+00
            200 24  -0.6074371E+00  0.7123161E+00 -0.3516049E+00
            200 25   0.1905574E+00  0.7073298E+00 -0.6807146E+00
            200 26  -0.5725755E+00  0.7076902E+00 -0.4139225E+00
            200 27  -0.6353320E+00  0.7137216E+00 -0.2948810E+00
            200 28   0.4878215E+00  0.7074020E+00 -0.5114809E+00
            200 29  -0.5722921E+00  0.7078540E+00 -0.4140344E+00
            200 30  -0.6653667E+00  0.7143484E+00 -0.2167796E+00
            200 31   0.6708635E+00  0.7074120E+00 -0.2225095E+00
            300 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            300 1   0.1229616E+00  0.7071068E+00 -0.6963336E+00
            300 2   0.1234876E+00  0.7071502E+00 -0.6961964E+00
            300 3  -0.1853635E+00  0.6983604E+00 -0.6913271E+00
            300 4  -0.1244374E-01  0.7071766E+00  0.7069274E+00
            300 5   0.1239239E+00  0.7071375E+00 -0.6961317E+00
            300 6  -0.6410647E-01  0.7006211E+00 -0.7106479E+00
            300 7  -0.4824037E+00  0.7071566E+00  0.5169296E+00
            300 8   0.1240562E+00  0.7071267E+00 -0.6961191E+00
            300 9   0.2803190E-01  0.7026934E+00 -0.7109403E+00
            300 10  -0.7044750E+00  0.7070749E+00  0.6132000E-01
            300 11   0.1238703E+00  0.7071178E+00 -0.6961613E+00
            300 12   0.8909602E-01  0.7045559E+00 -0.7040333E+00
            300 13  -0.5646230E+00  0.7070295E+00 -0.4258053E+00
            300 14   0.1233511E+00  0.7071102E+00 -0.6962612E+00
            300 15   0.1192657E+00  0.7062736E+00 -0.6978204E+00
            300 16  -0.1347390E+00  0.7070658E+00 -0.6941926E+00
            300 17   0.1224828E+00  0.7071034E+00 -0.6964214E+00
            300 18   0.1191259E+00  0.7079390E+00 -0.6961547E+00
            300 19   0.3643153E+00  0.7071510E+00 -0.6059800E+00
            300 20   0.1212495E+00  0.7070964E+00 -0.6966442E+00
            300 21   0.8880562E-01  0.7096455E+00 -0.6989398E+00
            300 22   0.6761775E+00  0.7072084E+00 -0.2064953E+00
            300 23   0.1196358E+00  0.7070888E+00 -0.6969309E+00
            300 24   0.2797220E-01  0.7114710E+00 -0.7021586E+00
            300 25   0.6406712E+00  0.7071827E+00  0.2990536E+00
            300 26   0.1176275E+00  0.7070800E+00 -0.6972816E+00
            300 27  -0.6332718E-01  0.7134504E+00 -0.6978382E+00
            300 28   0.2760661E+00  0.7070913E+00  0.6510064E+00
            300 29   0.1152115E+00  0.7070702E+00 -0.6976948E+00
            300 30  -0.1829790E+00  0.7155187E+00 -0.6742045E+00
            300 31  -0.2303325E+00  0.7070223E+00  0.6686303E+00
            400 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            400 1   0.6843255E+00  0.7071068E+00 -0.1780410E+00
            400 2   0.6842117E+00  0.7066605E+00 -0.1802365E+00
            400 3   0.4756270E+00  0.7038790E+00 -0.5275731E+00
            400 4  -0.4199597E-01  0.7071747E+00  0.7057905E+00
            400 5   0.6845007E+00  0.7067451E+00 -0.1788019E+00
            400 6   0.5834835E+00  0.7045708E+00 -0.4038899E+00
            400 7  -0.6087588E+00  0.7071290E+00  0.3596961E+00
            400 8   0.6846294E+00  0.7068401E+00 -0.1779315E+00
            400 9   0.6438086E+00  0.7051242E+00 -0.2971706E+00
            400 10  -0.6387074E+00  0.7070093E+00 -0.3036293E+00
            400 11   0.6846097E+00  0.7069433E+00 -0.1775971E+00
            400 12   0.6729408E+00  0.7058021E+00 -0.2213461E+00
            400 13  -0.1055218E+00  0.7069855E+00 -0.6993115E+00
            400 14   0.6844525E+00  0.7070517E+00 -0.1777714E+00
            400 15   0.6835732E+00  0.7066482E+00 -0.1826912E+00
            400 16   0.5206601E+00  0.7070654E+00 -0.4785097E+00
            400 17   0.6841677E+00  0.7071619E+00 -0.1784278E+00
            400 18   0.6824753E+00  0.7075648E+00 -0.1832470E+00
            400 19   0.6877817E+00  0.7071285E+00  0.1640905E+00
            400 20   0.6837644E+00  0.7072707E+00 -0.1795393E+00
            400 21   0.6697456E+00  0.7084034E+00 -0.2227226E+00
            400 22   0.2485525E+00  0.7071033E+00  0.6619868E+00
            400 23   0.6832507E+00  0.7073749E+00 -0.1810779E+00
            400 24   0.6388515E+00  0.7090513E+00 -0.2985214E+00
            400 25  -0.4097686E+00  0.7070702E+00  0.5763171E+00
            400 26   0.6826346E+00  0.7074715E+00 -0.1830141E+00
            400 27   0.5774439E+00  0.7095191E+00 -0.4039073E+00
            400 28  -0.7068376E+00  0.7071646E+00 -0.1728667E-01
            400 29   0.6819231E+00  0.7075583E+00 -0.1853162E+00
            400 30   0.4696526E+00  0.7100158E+00 -0.5246943E+00
            400 31  -0.3808411E+00  0.7073916E+00 -0.5954470E+00
            500 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            500 1   0.4367846E+00  0.7071068E+00  0.5560748E+00
            500 2   0.4436606E+00  0.7073094E+00  0.5503442E+00
            500 3   0.7020696E+00  0.7001845E+00  0.1297686E+00
            500 4  -0.8404246E-01  0.7071704E+00  0.7020305E+00
            500 5   0.4412054E+00  0.7072496E+00  0.5523909E+00
            500 6   0.6369407E+00  0.6998958E+00  0.3231908E+00
            500 7  -0.6885824E+00  0.7070854E+00  0.1608869E+00
            500 8   0.4392940E+00  0.7072004E+00  0.5539750E+00
            500 9   0.5529237E+00  0.7009467E+00  0.4504988E+00
            500 10  -0.3867536E+00  0.7069465E+00 -0.5921556E+00
            500 11   0.4379107E+00  0.7071595E+00  0.5551213E+00
            500 12   0.4820655E+00  0.7030254E+00  0.5228462E+00
            500 13   0.4240898E+00  0.7069808E+00 -0.5659735E+00
            500 14   0.4370369E+00  0.7071238E+00  0.5558549E+00
            500 15   0.4423148E+00  0.7056868E+00  0.5535014E+00
            500 16   0.6767766E+00  0.7070863E+00  0.2049449E+00
            500 17   0.4366516E+00  0.7070897E+00  0.5562009E+00
            500 18   0.4412384E+00  0.7085236E+00  0.5507295E+00
            500 19   0.3881400E-01  0.7071027E+00  0.7060448E+00
            500 20   0.4367322E+00  0.7070538E+00  0.5561834E+00
            500 21   0.4787216E+00  0.7111572E+00  0.5148603E+00
            500 22  -0.6501735E+00  0.7071067E+00  0.2779830E+00
            500 23   0.4372548E+00  0.7070125E+00  0.5558252E+00
            500 24   0.5470393E+00  0.7131668E+00  0.4383392E+00
            500 25  -0.4835299E+00  0.7072399E+00 -0.5157621E+00
            500 26   0.4381950E+00  0.7069629E+00  0.5551474E+00
            500 27   0.6283170E+00  0.7140798E+00  0.3087196E+00
            500 28   0.3193247E+00  0.7073937E+00 -0.6305758E+00
            500 29   0.4395287E+00  0.7069029E+00  0.5541685E+00
            500 30   0.6909939E+00  0.7135386E+00  0.1157154E+00
            500 31   0.7018017E+00  0.7073311E+00  0.8459922E-01
            600 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            600 1  -0.3462368E+00  0.7071068E+00  0.6165388E+00
            600 2  -0.3367040E+00  0.7070091E+00  0.6219072E+00
            600 3   0.2564196E+00  0.6923185E+00  0.6744954E+00
            600 4  -0.1382781E+00  0.7071665E+00  0.6933936E+00
            600 5  -0.3400707E+00  0.7070310E+00  0.6200476E+00
            600 6   0.1504555E-01  0.6947321E+00  0.7191112E+00
            600 7  -0.7041511E+00  0.7070341E+00 -0.6537593E-01
            600 8  -0.3427017E+00  0.7070524E+00  0.6185729E+00
            600 9  -0.1681889E+00  0.6983104E+00  0.6957551E+00
            600 10  -0.8595793E-02  0.7069072E+00 -0.7072541E+00
            600 11  -0.3446228E+00  0.7070740E+00  0.6174799E+00
            600 12  -0.2844835E+00  0.7020098E+00  0.6528793E+00
            600 13   0.7023704E+00  0.7070171E+00 -0.8247839E-01
            600 14  -0.3458628E+00  0.7070958E+00  0.6167612E+00
            600 15  -0.3395245E+00  0.7054563E+00  0.6221371E+00
            600 16   0.1552933E+00  0.7071078E+00  0.6898424E+00
            600 17  -0.3464516E+00  0.7071177E+00  0.6164056E+00
            600 18  -0.3395780E+00  0.7087522E+00  0.6183503E+00
            600 19  -0.6698540E+00  0.7071085E+00  0.2264800E+00
            600 20  -0.3464188E+00  0.7071392E+00  0.6163994E+00
            600 21  -0.2849170E+00  0.7121534E+00  0.6416073E+00
            600 22  -0.2951897E+00  0.7072033E+00 -0.6424379E+00
            600 23  -0.3457928E+00  0.7071601E+00  0.6167267E+00
            600 24  -0.1698240E+00  0.7157406E+00  0.6774033E+00
            600 25   0.6080772E+00  0.7072882E+00 -0.3605352E+00
            600 26  -0.3445999E+00  0.7071808E+00  0.6173704E+00
            600 27   0.1090142E-01  0.7191024E+00  0.6948187E+00
            600 28   0.4220979E+00  0.7071610E+00  0.5672360E+00
            600 29  -0.3428622E+00  0.7072021E+00  0.6183128E+00
            600 30   0.2483046E+00  0.7211491E+00  0.6467525E+00
            600 31  -0.5199528E+00  0.7070829E+00  0.4792523E+00
            700 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            700 1  -0.7005369E+00  0.7071068E+00 -0.9616719E-01
            700 2  -0.7021955E+00  0.7067377E+00 -0.8627457E-01
            700 3  -0.4475763E+00  0.6941689E+00  0.5637419E+00
            700 4  -0.2038920E+00  0.7071660E+00  0.6770113E+00
            700 5  -0.7016083E+00  0.7068339E+00 -0.9017533E-01
            700 6  -0.6281542E+00  0.6998124E+00  0.3401247E+00
            700 7  -0.6420643E+00  0.7069793E+00 -0.2965364E+00
            700 8  -0.7011449E+00  0.7069193E+00 -0.9306376E-01
            700 9  -0.6974491E+00  0.7039068E+00  0.1344619E+00
            700 10   0.3830263E+00  0.7069005E+00 -0.5946280E+00
            700 11  -0.7008084E+00  0.7069973E+00 -0.9498661E-01
            700 12  -0.7080446E+00  0.7060789E+00 -0.1120236E-01
            700 13   0.5353418E+00  0.7070725E+00  0.4620148E+00
            700 14  -0.7005971E+00  0.7070708E+00 -0.9599257E-01
            700 15  -0.7020858E+00  0.7069176E+00 -0.8569151E-01
            700 16  -0.5321339E+00  0.7071100E+00  0.4656489E+00
            700 17  -0.7005055E+00  0.7071428E+00 -0.9613122E-01
            700 18  -0.7013021E+00  0.7072919E+00 -0.8895837E-01
            700 19  -0.3869651E+00  0.7071358E+00 -0.5917913E+00
            700 20  -0.7005241E+00  0.7072163E+00 -0.9545250E-01
            700 21  -0.7058028E+00  0.7080912E+00 -0.2119591E-01
            700 22   0.6398916E+00  0.7072116E+00 -0.3006501E+00
            700 23  -0.7006408E+00  0.7072944E+00 -0.9400620E-01
            700 24  -0.6942190E+00  0.7101484E+00  0.1172570E+00
            700 25   0.2085655E+00  0.7071186E+00  0.6756358E+00
            700 26  -0.7008410E+00  0.7073804E+00 -0.9184151E-01
            700 27  -0.6251401E+00  0.7139878E+00  0.3153114E+00
            700 28  -0.6980493E+00  0.7071406E+00  0.1126026E+00
            700 29  -0.7011085E+00  0.7074778E+00 -0.8900602E-01
            700 30  -0.4470861E+00  0.7191601E+00  0.5319048E+00
            700 31  -0.1424648E-01  0.7074259E+00 -0.7066439E+00
            800 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            800 1  -0.1548843E+00  0.7071068E+00 -0.6899354E+00
            800 2  -0.1596141E+00  0.7070819E+00 -0.6888821E+00
            800 3  -0.6989964E+00  0.7058105E+00 -0.1150456E+00
            800 4  -0.2793567E+00  0.7071677E+00  0.6495180E+00
            800 5  -0.1567513E+00  0.7070974E+00 -0.6895233E+00
            800 6  -0.5684218E+00  0.7102884E+00 -0.4151951E+00
            800 7  -0.4974733E+00  0.7069219E+00 -0.5027740E+00
            800 8  -0.1549570E+00  0.7071047E+00 -0.6899212E+00
            800 9  -0.3898172E+00  0.7112379E+00 -0.5849643E+00
            800 10   0.6525035E+00  0.7069305E+00 -0.2729257E+00
            800 11  -0.1541884E+00  0.7071072E+00 -0.6900908E+00
            800 12  -0.2435654E+00  0.7101108E+00 -0.6606199E+00
            800 13   0.8367225E-02  0.7071157E+00  0.7070484E+00
            800 14  -0.1544108E+00  0.7071072E+00 -0.6900411E+00
            800 15  -0.1650136E+00  0.7081685E+00 -0.6864895E+00
            800 16  -0.6586324E+00  0.7070910E+00 -0.2573436E+00
            800 17  -0.1555945E+00  0.7071063E+00 -0.6897760E+00
            800 18  -0.1646113E+00  0.7060430E+00 -0.6887716E+00
            800 19   0.4854147E+00  0.7071456E+00 -0.5141183E+00
            800 20  -0.1577102E+00  0.7071062E+00 -0.6892955E+00
            800 21  -0.2421213E+00  0.7040775E+00 -0.6675719E+00
            800 22   0.2946582E+00  0.7071199E+00  0.6427736E+00
            800 23  -0.1607245E+00  0.7071087E+00 -0.6885964E+00
            800 24  -0.3867508E+00  0.7028634E+00 -0.5969982E+00
            800 25  -0.7063299E+00  0.7071411E+00  0.3239647E-01
            800 26  -0.1645963E+00  0.7071161E+00 -0.6876736E+00
            800 27  -0.5633102E+00  0.7035796E+00 -0.4331944E+00
            800 28   0.2346862E+00  0.7073724E+00 -0.6667433E+00
            800 29  -0.1692722E+00  0.7071319E+00 -0.6865212E+00
            800 30  -0.6926161E+00  0.7075606E+00 -0.1401463E+00
            800 31   0.5301639E+00  0.7072260E+00  0.4677153E+00
            900 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
            900 1   0.5990737E+00  0.7071068E+00 -0.3756470E+00
            900 2   0.5935613E+00  0.7070205E+00 -0.3844566E+00
            900 3  -0.2133496E+00  0.7127686E+00 -0.6681638E+00
            900 4  -0.3621249E+00  0.7071699E+00  0.6072695E+00
            900 5   0.5956511E+00  0.7070499E+00 -0.3811563E+00
            900 6   0.1516241E+00  0.7124814E+00 -0.6851135E+00
            900 7  -0.2781975E+00  0.7068613E+00 -0.6503486E+00
            900 8   0.5972708E+00  0.7070713E+00 -0.3785733E+00
            900 9   0.4033709E+00  0.7102617E+00 -0.5769058E+00
            900 10   0.6895195E+00  0.7069967E+00  0.1572211E+00
            900 11   0.5983925E+00  0.7070874E+00 -0.3767675E+00
            900 12   0.5390234E+00  0.7083730E+00 -0.4556989E+00
            900 13  -0.5326788E+00  0.7071175E+00  0.4650141E+00
            900 14   0.5989857E+00  0.7071006E+00 -0.3757989E+00
            900 15   0.5932676E+00  0.7073933E+00 -0.3842241E+00
            900 16  -0.6285435E-01  0.7070689E+00 -0.7043457E+00
            900 17   0.5990169E+00  0.7071129E+00 -0.3757260E+00
            900 18   0.5925402E+00  0.7068182E+00 -0.3863989E+00
            900 19   0.6065865E+00  0.7071220E+00  0.3633611E+00
            900 20   0.5984497E+00  0.7071262E+00 -0.3766040E+00
            900 21   0.5371252E+00  0.7058173E+00 -0.4618641E+00
            900 22  -0.6505906E+00  0.7071105E+00  0.2769957E+00
            900 23   0.5972432E+00  0.7071425E+00 -0.3784838E+00
            900 24   0.4012756E+00  0.7038547E+00 -0.5861454E+00
            900 25   0.1585225E+00  0.7072993E+00 -0.6889110E+00
            900 26   0.5953523E+00  0.7071644E+00 -0.3814107E+00
            900 27   0.1511374E+00  0.7014352E+00 -0.6965243E+00
            900 28   0.4639556E+00  0.7071739E+00  0.5335263E+00
            900 29   0.5927267E+00  0.7071950E+00 -0.3854223E+00
            900 30  -0.2101337E+00  0.7006907E+00 -0.6818185E+00
            900 31  -0.7043376E+00  0.7071675E+00  0.6182762E-01
           1000 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
           1000 1   0.5455777E+00  0.7071068E+00  0.4498278E+00
           1000 2   0.5545986E+00  0.7072513E+00  0.4384245E+00
           1000 3   0.5103916E+00  0.7063040E+00 -0.4905457E+00
           1000 4  -0.4485711E+00  0.7071722E+00  0.5465267E+00
           1000 5   0.5511201E+00  0.7071865E+00  0.4428927E+00
           1000 6   0.6978204E+00  0.7041295E+00 -0.1313328E+00
           1000 7  -0.7290311E-02  0.7068135E+00 -0.7073623E+00
           1000 8   0.5484966E+00  0.7071453E+00  0.4462028E+00
           1000 9   0.6900780E+00  0.7028464E+00  0.1726247E+00
           1000 10   0.4599492E+00  0.7070761E+00  0.5371129E+00
           1000 11   0.5467169E+00  0.7071223E+00  0.4484180E+00
           1000 12   0.6128313E+00  0.7036017E+00  0.3596977E+00
           1000 13  -0.6975058E+00  0.7070711E+00 -0.1163447E+00
           1000 14   0.5457583E+00  0.7071107E+00  0.4496024E+00
           1000 15   0.5541648E+00  0.7057855E+00  0.4413254E+00
           1000 16   0.6092386E+00  0.7070692E+00 -0.3590006E+00
           1000 17   0.5455902E+00  0.7071029E+00  0.4498187E+00
           1000 18   0.5530209E+00  0.7084247E+00  0.4385229E+00
           1000 19  -0.2362593E+00  0.7071008E+00  0.6664759E+00
           1000 20   0.5461752E+00  0.7070912E+00  0.4491266E+00
           1000 21   0.6092658E+00  0.7105769E+00  0.3519599E+00
           1000 22  -0.2471332E+00  0.7072081E+00 -0.6624062E+00
           1000 23   0.5474714E+00  0.7070683E+00  0.4475819E+00
           1000 24   0.6840083E+00  0.7112428E+00  0.1620691E+00
           1000 25   0.6148903E+00  0.7071885E+00  0.3489904E+00
           1000 26   0.5494340E+00  0.7070275E+00  0.4452352E+00
           1000 27   0.6901640E+00  0.7097524E+00 -0.1411562E+00
           1000 28  -0.6954206E+00  0.7071365E+00  0.1278604E+00
           1000 29   0.5520177E+00  0.7069640E+00  0.4421293E+00
           1000 30   0.5042075E+00  0.7071283E+00 -0.4957261E+00
           1000 31   0.4506664E+00  0.7074525E+00 -0.5444362E+00
           1100 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
           1100 1  -0.2664055E+00  0.7071068E+00  0.6550024E+00
           1100 2  -0.2533870E+00  0.7067026E+00  0.6605804E+00
           1100 3   0.6703874E+00  0.7010893E+00  0.2430114E+00
           1100 4  -0.5334086E+00  0.7071585E+00  0.4641143E+00
           1100 5  -0.2581766E+00  0.7067901E+00  0.6586293E+00
           1100 6   0.3947019E+00  0.7011463E+00  0.5938049E+00
           1100 7   0.2764413E+00  0.7067944E+00 -0.6511696E+00
           1100 8  -0.2619308E+00  0.7068794E+00  0.6570493E+00
           1100 9   0.7908050E-01  0.7019459E+00  0.7078264E+00
           1100 10   0.3654178E-01  0.7071401E+00  0.7061286E+00
           1100 11  -0.2645913E+00  0.7069699E+00  0.6558849E+00
           1100 12  -0.1452441E+00  0.7038097E+00  0.6953819E+00
           1100 13  -0.3419566E+00  0.7070023E+00 -0.6190423E+00
           1100 14  -0.2661004E+00  0.7070611E+00  0.6551757E+00
           1100 15  -0.2532139E+00  0.7060045E+00  0.6613928E+00
           1100 16   0.5784353E+00  0.7070954E+00  0.4067294E+00
           1100 17  -0.2664015E+00  0.7071524E+00  0.6549547E+00
           1100 18  -0.2535333E+00  0.7082068E+00  0.6589112E+00
           1100 19  -0.6981007E+00  0.7071191E+00 -0.1124188E+00
           1100 20  -0.2654374E+00  0.7072434E+00  0.6552478E+00
           1100 21  -0.1466824E+00  0.7103758E+00  0.6883680E+00
           1100 22   0.6767909E+00  0.7072062E+00 -0.2044835E+00
           1100 23  -0.2631485E+00  0.7073337E+00  0.6560731E+00
           1100 24   0.7516690E-01  0.7121502E+00  0.6979914E+00
           1100 25  -0.5189442E+00  0.7070855E+00  0.4803406E+00
           1100 26  -0.2594710E+00  0.7074231E+00  0.6574400E+00
           1100 27   0.3867325E+00  0.7127177E+00  0.5852106E+00
           1100 28   0.2561439E+00  0.7073933E+00 -0.6587754E+00
           1100 29  -0.2543377E+00  0.7075116E+00  0.6593479E+00
           1100 30   0.6586321E+00  0.7122484E+00  0.2427057E+00
           1100 31   0.5811927E-01  0.7070868E+00  0.7047343E+00
           1200 0   0.0000000E+00  0.0000000E+00  0.0000000E+00
           1200 1  -0.7034967E+00  0.7071068E+00 -0.7136150E-01
           1200 2  -0.7040430E+00  0.7074582E+00 -0.6185740E-01
           1200 3   0.6039376E-01  0.7101715E+00  0.7014335E+00
           1200 4  -0.6098826E+00  0.7071344E+00  0.3577768E+00
           1200 5  -0.7036903E+00  0.7073821E+00 -0.6656207E-01
           1200 6  -0.4059765E+00  0.7076494E+00  0.5782866E+00
           1200 7   0.5226371E+00  0.7068134E+00 -0.4767234E+00
           1200 8  -0.7034605E+00  0.7073026E+00 -0.6975979E-01
           1200 9  -0.6407361E+00  0.7062831E+00  0.3010340E+00
           1200 10  -0.4124627E+00  0.7071490E+00  0.5742951E+00
           1200 11  -0.7033664E+00  0.7072234E+00 -0.7148925E-01
           1200 12  -0.7047816E+00  0.7063313E+00  0.6617389E-01
           1200 13   0.2845836E+00  0.7069722E+00 -0.6474585E+00
           1200 14  -0.7034166E+00  0.7071455E+00 -0.7176646E-01
           1200 15  -0.7051551E+00  0.7068318E+00 -0.5608057E-01
           1200 16  -0.1442443E+00  0.7071157E+00  0.6922290E+00
           1200 17  -0.7036130E+00  0.7070681E+00 -0.7059384E-01
           1200 18  -0.7045947E+00  0.7073814E+00 -0.5619504E-01
           1200 19  -0.2316826E-02  0.7071494E+00 -0.7070604E+00
           1200 20  -0.7039497E+00  0.7069900E+00 -0.6796953E-01
           1200 21  -0.7032671E+00  0.7078699E+00  0.6584612E-01
           1200 22   0.1487393E+00  0.7070938E+00  0.6912994E+00
