structure               kinetic_energy    t_l               t_h                 t_v             sigE
Regular                 1                 -1.423648E+02     1.854713E+01        1.772179E+01    1.963293
Regular                 2                 -7.5937740E+02	2.0417170E+02		2.0686910E+02   1.671202
Regular                 3                 -1.1806120E+04	9.9360390E+02		1.3819670E+03   1.590594
Regular                 4                 5.2211350E+03		2.7022430E+03		8.4266870E+03   1.556338
Regular                 4.5               4.425992E+03      3.777660E+03        2.454469E+04    1.546139
Regular                 5                 4.2767340E+03		4.9052680E+03		1.5671400E+05   1.538497
Regular                 5.7               4.463231E+03      6.516377E+03        -8.863418E+04   1.530641
Regular                 6                 4.6217250E+03		7.2175990E+03		-7.1867290E+04  1.527998
Regular                 7                 5.3697290E+03		9.6453760E+03		-6.7446420E+04  1.521289
Regular                 8                 6.3809730E+03		1.2302290E+04		-8.3089410E+04  1.516739
Regular                 9                 7.6209390E+03		1.5283110E+04		-1.0968310E+05  1.513509
Regular                 10                9.0831530E+03		1.8655670E+04		-1.4752380E+05  1.511133
Regular                 11                1.0771210E+04		2.2471240E+04		-1.9861530E+05  1.509334
Regular                 12.6              1.3962450E+04		2.9601360E+04		-3.1521500E+05  1.507247
Regular                 13                1.485869E+04      3.159587E+04        -3.524920E+05   1.506835
Resonant                1                 -1.983163E+02     7.181901E+00        1.844734E+01    1.963293
Resonant                2                 -1.283797E+03     3.919420E+01        2.023272E+02    1.67120
Resonant                3                 1.697456E+04      1.066428E+02        1.201821E+03    1.590594
Resonant                4                 4.573570E+03      2.144596E+02        5.618377E+03    1.556338 
Resonant                4.5               4.364617E+03      2.860146E+02        1.199555E+04    1.546139
Resonant                5                 4.475114E+03      3.699652E+02        2.671965E+04    1.538497
Resonant                6                 5.135764E+03      5.781736E+02        3.062362E+05    1.527998
Resonant                7                 6.1528050E+03		8.4551620E+02		-2.0857240E+05  1.521289
Resonant                8                 7.4491680E+03		1.1785900E+03		-1.6961190E+05  1.516739
Resonant                9                 9.0087020E+03		1.5840420E+03		-1.9207880E+05  1.513509
Resonant                10                1.0833520E+04		2.0685240E+03		-2.3808050E+05  1.511133
Resonant                11                1.2932750E+04		2.6386690E+03		-3.0447990E+05  1.509334
Resonant                12.6              1.6893510E+04		3.7455680E+03		-4.5864580E+05  1.507247
Resonant                13                1.800505E+04      4.062358E+03        -5.079756E+05   1.506835
Combined                1                 -1.708170E+02     1.036518E+01        1.882811E+01    1.963293
Combined                2                 -9.730466E+02     6.553506E+01        2.157781E+02    1.671202
Combined                3                 -5.404264E+04     1.909056E+02        1.383972E+03    1.590594
Combined                4                 5.090258E+03      3.939835E+02        7.612793E+03    1.556338
Combined                4.5               4.560467E+03      5.263963E+02        1.924228E+04    1.546139
Combined                5                 4.523672E+03      6.801817E+02        6.374473E+04    1.538497 
Combined                6                 5.014371E+03      1.056143E+03        -1.265670E+05   1.527998
Combined                7                 5.8989200E+03		1.5313790E+03		-9.1152720E+04  1.521289
Combined                8                 7.0617640E+03		2.1162470E+03		-1.0507630E+05  1.516739
Combined                9                 8.4751710E+03		2.8213970E+03		-1.3455610E+05  1.513509
Combined                10                1.0136030E+04		3.6575550E+03		-1.7785380E+05  1.511133
Combined                11                1.2050340E+04		4.6354370E+03		-2.3677140E+05  1.509334
Combined                12.6              1.5666040E+04		6.5214680E+03		-3.7150450E+05  1.507247
Combined                13                1.668111E+04      7.059035E+03        -4.145879E+05   1.506835
