structure               kinetic_energy    t_l             t_h             t_v             sigE
Regular                 1               	-8.582334E+01		1.391753E+01		6.465175E+00    2.084909
Regular                 1.5               -1.859045E+02		5.622911E+01		2.307923E+01    1.875210
Regular                 2               	-4.065098E+02		1.768538E+02		6.515261E+01    1.779691
Regular                 2.5               -9.385782E+02		4.608003E+02		1.585743E+02    1.727279
Regular                 3               	-2.663857E+03		1.006000E+03		3.486066E+02    1.695160
Regular                 3.5               -3.721842E+04		1.833558E+03		7.125049E+02    1.673961
Regular                 4               	6.729265E+03		2.821348E+03		1.381137E+03    1.659197
Regular                 4.5               4.285508E+03		3.798158E+03		2.577765E+03    1.648485
Regular                 5               	3.711497E+03		4.677738E+03		4.691840E+03    1.640457
Resonant                1               	-1.178737E+02		4.903227E+00		6.820622E+00    2.084909
Resonant                1.5               -2.713290E+02		1.312979E+01		2.402947E+01    1.875210
Resonant                2                 -6.474740E+02		2.683935E+01		6.665239E+01    1.779691
Resonant                2.5               -1.779196E+03		4.655399E+01		1.588088E+02    1.727279
Resonant                3               	-1.020774E+04		7.258842E+01		3.404752E+02    1.695160
Resonant                3.5               8.166018E+03		1.052462E+02		6.756823E+02    1.673961
Resonant                4               	4.476682E+03		1.448822E+02		1.264864E+03    1.659197
Resonant                4.5              	3.788335E+03		1.919053E+02		2.263851E+03    1.648485
Resonant                5               	3.653565E+03		2.467646E+02		3.913875E+03    1.640457
Regular_and_Resonant    1               	-1.023024E+02		7.289815E+00		6.890336E+00    2.084909
Regular_and_Resonant    1.5              	-2.262034E+02		2.137819E+01		2.451627E+01    1.875210
Regular_and_Resonant    2               	-5.092421E+02		4.670724E+01		6.887082E+01    1.779691
Regular_and_Resonant    2.5              	-1.241829E+03		8.453820E+01		1.665722E+02    1.727279
Regular_and_Resonant    3               	-4.155552E+03		1.350253E+02		3.633645E+02    1.695160
Regular_and_Resonant    3.5              	2.569511E+04		1.980505E+02		7.356922E+02    1.673961
Regular_and_Resonant    4               	5.697113E+03		2.736566E+02		1.409674E+03    1.659197
Regular_and_Resonant    4.5              	4.200143E+03		3.621400E+02		2.593363E+03    1.648485
Regular_and_Resonant    5               	3.823570E+03		4.640048E+02		4.634168E+03    1.640457
